Campaign_id,Channel,Spend,Clicks,Impressions,Date
CMP9251,Facebook Ads,$6049.0500,474,10992,04/30/2025
CMP2130,YouTube Ads,$18438.2800,3320,34853,2025-05-12
CMP9648,Instagram Ads,$993.0100,139,4068,2025-06-03
CMP5932,YouTube Ads,$9816.7200,943,79812,04/24/2025
CMP0511,Google Ads,$33265.6900,3340,64781,02/25/2025
CMP9967,Facebook Ads,$1308.9900,179,10609,11/21/2025
CMP8693,Instagram Ads,$54881.0100,4191,61469,02/20/2025
CMP3523,LinkedIn Ads,$18713.8800,1921,61186,08/21/2025
CMP4177,Instagram Ads,$7320.2700,1992,22006,02/13/2025
CMP2132,YouTube Ads,$12506.6100,650,9861,10/15/2025
CMP6930,Email Marketing,$4474.4700,344,8743,06/30/2025
CMP3675,Google Ads,$41142.2600,4606,47890,05/23/2025
CMP9122,Google Ads,$107346.2900,7661,81822,12/22/2025
CMP5568,Instagram Ads,$1701.3700,96,2800,10/17/2025
CMP1504,Email Marketing,$16459.1200,1812,71531,08/21/2025
CMP9300,YouTube Ads,$819.9600,157,13135,11/13/2025
CMP7958,YouTube Ads,$25059.2000,3442,59939,09/20/2025
CMP9718,LinkedIn Ads,$43553.8300,5515,71066,04/23/2025
CMP3461,Facebook Ads,$10179.0400,1235,35491,2025-04-01
CMP3771,YouTube Ads,$97576.2400,6876,75233,2025-01-07
CMP1276,Instagram Ads,$44698.0100,3566,77465,12/30/2025
CMP2816,YouTube Ads,$105978.4400,5699,62305,02/15/2025
CMP1289,LinkedIn Ads,$18054.7300,2831,42668,03/28/2025
CMP5725,Instagram Ads,$16381.0900,2469,97339,03/16/2025
CMP1235,Facebook Ads,$86493.2100,8145,84306,10/16/2025
CMP5296,Email Marketing,$13111.8600,1286,43436,08/29/2025
CMP5767,YouTube Ads,$7247.6400,685,11724,01/20/2025
CMP1480,YouTube Ads,$38787.1500,4203,79867,10/25/2025
CMP3085,Instagram Ads,$44486.9200,3946,81299,2025-01-02
CMP2828,Google Ads,$29953.9500,2948,34472,08/13/2025
CMP4635,LinkedIn Ads,$40567.9800,2821,55578,01/27/2025
CMP4656,Instagram Ads,$20942.9300,2513,96861,10/26/2025
CMP2113,YouTube Ads,$11385.6300,1438,94908,2025-12-07
CMP8625,Google Ads,$79641.6600,6987,86675,2025-10-01
CMP7968,Facebook Ads,$3194.6700,613,31693,2025-01-06
CMP0619,Email Marketing,$14544.8900,1123,46140,03/20/2025
CMP2713,Email Marketing,$3943.8400,407,59366,12/13/2025
CMP7356,Facebook Ads,$15902.6200,2009,71993,08/29/2025
CMP4617,LinkedIn Ads,$42942.0900,4370,67916,03/24/2025
CMP7874,Instagram Ads,$13305.0700,890,74684,09/22/2025
CMP8411,Facebook Ads,$15268.8500,801,59340,04/24/2025
CMP6127,Facebook Ads,$6505.7800,718,52615,01/15/2025
CMP2255,Google Ads,$64798.2900,3807,39601,12/23/2025
CMP1299,Google Ads,$15965.3600,933,35544,2025-08-10
CMP4935,Google Ads,$2895.0000,294,8258,11/15/2025
CMP8783,Google Ads,$60494.0700,4013,84831,05/30/2025
CMP3069,Email Marketing,$16931.7400,1452,89584,2025-04-07
CMP9080,Google Ads,$12724.4900,3901,53177,07/18/2025
CMP5650,Facebook Ads,$27970.2300,1748,98068,06/20/2025
CMP2869,Email Marketing,$62483.7000,5746,62899,2025-04-04
CMP4808,Facebook Ads,$4572.3400,254,7741,2025-11-06
CMP0600,Email Marketing,$10680.1500,1221,27048,01/25/2025
CMP6554,Email Marketing,$27129.4100,3217,59637,2025-06-04
CMP4370,Google Ads,$27187.9600,7005,97300,2025-05-11
CMP4844,Instagram Ads,$75084.6800,4986,60447,03/27/2025
CMP5777,YouTube Ads,$31474.9500,2299,59008,01/30/2025
CMP2622,Google Ads,$23480.9600,1788,20714,08/13/2025
CMP5934,LinkedIn Ads,$4123.0900,315,76349,12/14/2025
CMP2256,YouTube Ads,$26485.7800,3310,50096,05/23/2025
CMP6341,YouTube Ads,$9412.2600,586,17435,12/27/2025
CMP3280,Google Ads,$6817.4600,1796,19790,03/30/2025
CMP5693,Email Marketing,$7348.6400,613,10511,2025-03-06
CMP5923,YouTube Ads,$10797.6800,547,31391,03/13/2025
CMP7658,YouTube Ads,$23420.5300,1303,19009,2025-03-02
CMP6709,YouTube Ads,$5972.0900,306,11666,11/25/2025
CMP9033,Email Marketing,$24541.7200,1540,79042,2025-08-03
CMP4983,Facebook Ads,$25854.2000,1371,23229,04/26/2025
CMP9025,Instagram Ads,$10373.2400,1330,18406,2025-01-10
CMP2527,Facebook Ads,$96240.3000,5581,88341,10/16/2025
CMP9450,Instagram Ads,$55774.0000,3503,87344,2025-02-08
CMP4950,LinkedIn Ads,$55639.3400,3346,34096,07/27/2025
CMP6810,LinkedIn Ads,$14548.2500,1721,62875,03/15/2025
CMP2143,Instagram Ads,$20270.0800,4651,69499,2025-04-05
CMP0830,Instagram Ads,$49980.1700,5091,52351,03/23/2025
CMP8164,YouTube Ads,$73949.6100,4135,63186,2025-12-09
CMP3525,YouTube Ads,$1516.2400,448,48254,2025-11-09
CMP1762,LinkedIn Ads,$13237.2100,1857,19555,2025-07-07
CMP3190,Instagram Ads,$9141.3500,2414,74512,09/16/2025
CMP1947,Facebook Ads,$7730.5100,856,14672,06/23/2025
CMP8194,Google Ads,$435.9300,89,7938,06/20/2025
CMP2291,Instagram Ads,$14209.1300,2659,82356,2025-12-11
CMP8026,Email Marketing,$27080.6000,2505,75783,2025-09-01
CMP5041,Email Marketing,$6291.7200,486,92183,05/16/2025
CMP2794,YouTube Ads,$31935.4600,6279,84447,12/15/2025
CMP7226,Instagram Ads,$12547.5700,1290,56890,04/15/2025
CMP1021,Email Marketing,$6814.8700,1112,20098,06/16/2025
CMP8735,Instagram Ads,$42295.3700,2952,73601,12/15/2025
CMP9144,Instagram Ads,$20298.3500,1269,31473,12/27/2025
CMP9184,Email Marketing,$5689.0700,1228,37842,12/13/2025
CMP2400,Instagram Ads,$6610.9900,344,7513,2025-10-02
CMP3311,YouTube Ads,$34534.4100,2352,37537,2025-12-03
CMP8701,Facebook Ads,$13209.4500,3864,85616,07/31/2025
CMP9017,Facebook Ads,$101822.8100,5398,55334,2025-01-09
CMP4677,Email Marketing,$3402.8800,837,9754,10/21/2025
CMP2869,LinkedIn Ads,$3950.2000,198,25040,07/23/2025
CMP0614,Google Ads,$31003.7200,2376,41110,06/21/2025
CMP2199,YouTube Ads,$13422.5500,2285,63344,02/27/2025
CMP3051,Google Ads,$91054.0900,5573,98549,10/18/2025
CMP7008,YouTube Ads,$7231.0800,760,44982,02/18/2025
CMP4273,LinkedIn Ads,$29482.9000,1879,32870,06/18/2025
CMP5891,Email Marketing,$4312.6200,304,32972,08/27/2025
CMP5096,Email Marketing,$25166.8400,1358,17389,2025-01-06
CMP2510,LinkedIn Ads,$30407.4000,3110,81395,2025-09-10
CMP9762,Google Ads,$43554.9000,3709,70879,2025-05-07
CMP8282,Facebook Ads,$22774.2600,4446,77065,06/17/2025
CMP8009,Google Ads,$61596.1600,3699,68895,08/21/2025
CMP7576,Email Marketing,$2149.8400,228,42392,2025-02-01
CMP1045,YouTube Ads,$3578.0600,965,9897,08/30/2025
CMP6888,Instagram Ads,$65983.1500,3724,52132,07/13/2025
CMP5698,Google Ads,$21101.6800,2250,25392,2025-07-03
CMP8921,LinkedIn Ads,$53381.1100,3157,71721,2025-07-05
CMP1849,Google Ads,$91740.6800,6918,88533,2025-09-01
CMP9795,Email Marketing,$5745.0700,847,94181,01/23/2025
CMP0925,Facebook Ads,$15960.1400,2419,68046,10/22/2025
CMP3882,Instagram Ads,$29063.0900,2068,20777,04/24/2025
CMP2870,Email Marketing,$86190.8500,7049,90965,01/25/2025
CMP6822,LinkedIn Ads,$11614.5300,1278,21558,2025-03-10
CMP7587,Google Ads,$66666.3700,3430,75713,10/13/2025
CMP1296,LinkedIn Ads,$9582.0100,807,50637,2025-08-04
CMP1193,Facebook Ads,$85260.0500,5983,79015,04/22/2025
CMP3471,Facebook Ads,$30704.8000,1972,99186,2025-03-09
CMP3922,YouTube Ads,$21694.6200,2368,44154,2025-01-10
CMP7636,Google Ads,$122544.3000,7742,96688,06/13/2025
CMP3626,Email Marketing,$819.3700,116,21126,10/27/2025
CMP6224,YouTube Ads,$25425.4300,2095,34208,12/17/2025
CMP7551,Facebook Ads,$31789.7100,5820,98045,2025-07-10
CMP0555,Google Ads,$13399.2800,844,89584,07/31/2025
CMP3584,YouTube Ads,$11054.3200,3107,61770,11/23/2025
CMP6740,Google Ads,$4859.4200,321,4192,2025-02-10
CMP2938,Google Ads,$5733.7100,1123,14624,2025-09-04
CMP6113,LinkedIn Ads,$31605.2100,4678,62161,12/23/2025
CMP0520,Google Ads,$28721.0800,3156,55120,2025-01-09
CMP7110,Email Marketing,$15090.0000,831,45420,01/22/2025
CMP0763,Google Ads,$84678.8200,4643,91709,10/16/2025
CMP2363,Email Marketing,$5261.3900,680,54205,10/16/2025
CMP6289,Email Marketing,$33023.6700,1668,20343,2025-10-02
CMP1246,Instagram Ads,$84077.5300,6349,81320,2025-01-11
CMP8039,Facebook Ads,$86882.6000,4580,48636,2025-10-08
CMP4840,Facebook Ads,$4935.3200,1254,95468,03/20/2025
CMP5910,Google Ads,$1140.1100,60,13995,08/16/2025
CMP7354,YouTube Ads,$40944.3600,4247,74710,01/14/2025
CMP5316,LinkedIn Ads,$1938.5900,199,3617,02/13/2025
CMP2778,Facebook Ads,$9233.9000,1283,37247,03/16/2025
CMP1261,Instagram Ads,$16022.6800,1060,34990,2025-11-09
CMP0111,LinkedIn Ads,$52398.5700,3162,45544,06/18/2025
CMP9739,Facebook Ads,$17795.6000,1363,41378,12/22/2025
CMP5229,Instagram Ads,$157313.8000,8094,98321,2025-05-05
CMP1866,YouTube Ads,$49381.5400,2475,28188,2025-03-04
CMP7184,Instagram Ads,$19912.1300,1183,92811,07/29/2025
CMP2526,Email Marketing,$11906.8000,3138,57460,2025-03-11
CMP6854,YouTube Ads,$6177.4500,418,6818,2025-02-10
CMP5817,Facebook Ads,$9576.1800,775,86803,11/27/2025
CMP3638,YouTube Ads,$104852.5000,8549,99891,12/19/2025
CMP9644,Email Marketing,$10961.4200,1284,67597,01/13/2025
CMP1902,Email Marketing,$6072.0200,763,20569,08/22/2025
CMP7413,Instagram Ads,$2179.2200,664,10804,12/30/2025
CMP2693,Email Marketing,$12010.9900,2163,33970,03/23/2025
CMP3023,Facebook Ads,$67183.7900,7130,85948,2025-11-11
CMP3520,Facebook Ads,$46388.2600,3131,38483,2025-02-02
CMP7497,Google Ads,$49216.4000,2797,36387,09/28/2025
CMP5701,Instagram Ads,$28186.7200,5107,62012,2025-11-12
CMP1932,Facebook Ads,$5748.9100,1008,42026,12/22/2025
CMP6287,LinkedIn Ads,$27828.2700,2043,26347,12/22/2025
CMP5155,LinkedIn Ads,$16376.0800,928,83187,2025-05-01
CMP8282,Email Marketing,$49253.9300,3401,66876,2025-01-08
CMP3614,Instagram Ads,$2129.9100,331,6285,05/28/2025
CMP9007,YouTube Ads,$5497.3100,1222,16838,2025-06-10
CMP3581,LinkedIn Ads,$21720.1800,1388,15423,2025-02-06
CMP7194,Google Ads,$15168.7500,909,33056,10/29/2025
CMP2282,Facebook Ads,$3655.5600,293,29124,09/30/2025
CMP4795,Instagram Ads,$42933.9800,2240,77069,09/21/2025
CMP2079,Email Marketing,$2838.2500,561,19392,06/14/2025
CMP4403,Email Marketing,$32509.9800,3123,56293,11/21/2025
CMP6047,LinkedIn Ads,$34640.6100,2731,65968,02/17/2025
CMP8757,LinkedIn Ads,$30635.1100,1809,30551,2025-11-09
CMP9276,LinkedIn Ads,$1473.5800,446,47054,11/17/2025
CMP7480,Google Ads,$34011.3700,1707,58072,2025-09-03
CMP1351,Instagram Ads,$9404.7300,2761,89098,11/17/2025
CMP1560,Google Ads,$7739.4500,2003,29973,10/31/2025
CMP5630,Google Ads,$27602.9300,5735,57353,2025-06-02
CMP5134,Instagram Ads,$5619.7400,611,41223,2025-10-03
CMP2689,LinkedIn Ads,$24217.0600,1795,48030,03/19/2025
CMP1647,Facebook Ads,$19200.8800,1257,18142,06/29/2025
CMP4066,YouTube Ads,$75074.0000,4965,80774,05/26/2025
CMP3091,Email Marketing,$34119.5000,2471,53347,2025-03-05
CMP1164,YouTube Ads,$4409.4200,234,3581,2025-09-03
CMP7718,Google Ads,$1288.6400,350,4187,05/15/2025
CMP8210,LinkedIn Ads,$13187.6200,3345,57518,2025-02-10
CMP8378,Facebook Ads,$12960.8700,1388,22365,11/21/2025
CMP3910,Google Ads,$7528.4400,403,34044,2025-01-03
CMP2878,Google Ads,$1773.1500,120,3660,03/25/2025
CMP4248,Facebook Ads,$17011.3600,1089,50741,05/18/2025
CMP1047,Instagram Ads,$128036.8900,9497,95365,2025-12-09
CMP2735,Instagram Ads,$17540.3800,1094,22618,10/21/2025
CMP0202,Facebook Ads,$4727.4900,533,8026,03/18/2025
CMP6871,Facebook Ads,$20381.0900,2083,44179,06/13/2025
CMP0863,Facebook Ads,$42536.7900,2162,31253,07/25/2025
CMP1416,YouTube Ads,$1029.9500,115,61866,05/30/2025
CMP9695,LinkedIn Ads,$36169.7100,2288,27614,2025-06-05
CMP0158,Instagram Ads,$1980.4900,218,2191,2025-07-06
CMP0982,Facebook Ads,$19129.0000,4634,95277,04/29/2025
CMP1392,YouTube Ads,$5247.5900,1085,14527,07/21/2025
CMP2142,Facebook Ads,$19460.5200,1119,40230,07/21/2025
CMP3322,Facebook Ads,$4916.9400,942,78638,03/26/2025
CMP3402,LinkedIn Ads,$27444.2200,3845,42410,2025-03-03
CMP9885,Google Ads,$7093.1700,1392,30183,12/31/2025
CMP4263,Facebook Ads,$8099.3600,464,6073,2025-12-10
CMP2291,Google Ads,$1379.5500,81,3567,04/24/2025
CMP1377,YouTube Ads,$40264.3500,2170,78823,2025-08-02
CMP2111,Google Ads,$3419.2900,1053,45456,08/25/2025
CMP8129,Google Ads,$19583.0300,3545,52165,04/20/2025
CMP4027,Email Marketing,$20322.7400,2093,40680,2025-09-10
CMP3268,Email Marketing,$28308.3800,2091,70919,2025-06-10
CMP7941,Instagram Ads,$33853.4400,4165,76141,05/19/2025
CMP4603,Google Ads,$38408.5200,4387,63824,10/27/2025
CMP8744,Email Marketing,$16587.4700,832,9328,04/23/2025
CMP2847,Facebook Ads,$19969.1300,2476,33005,12/24/2025
CMP9301,YouTube Ads,$22973.0300,1203,20625,2025-10-09
CMP3812,YouTube Ads,$1534.3800,131,30679,2025-01-01
CMP2908,Instagram Ads,$366.1200,72,9806,12/27/2025
CMP6121,Email Marketing,$83304.8100,6531,88787,06/22/2025
CMP7983,Email Marketing,$21971.4100,1477,43586,10/15/2025
CMP5027,Email Marketing,$23051.9100,4875,92242,2025-01-01
CMP3620,Email Marketing,$17040.6200,902,76127,03/14/2025
CMP1454,Email Marketing,$57253.9300,5550,89821,05/16/2025
CMP1771,Email Marketing,$573.7400,62,2167,2025-03-08
CMP6150,Google Ads,$66473.0600,4785,64847,12/18/2025
CMP4832,Google Ads,$41928.3000,2189,43774,2025-07-02
CMP1526,Instagram Ads,$92035.2800,5076,79860,12/27/2025
CMP2574,Google Ads,$4438.7100,728,15272,2025-08-04
CMP4347,Email Marketing,$8441.2000,1268,38899,01/26/2025
CMP5912,Google Ads,$5871.0900,767,58047,2025-05-12
CMP4782,Google Ads,$7864.6000,996,64071,07/23/2025
CMP6350,Facebook Ads,$28453.4200,3174,50630,08/17/2025
CMP4401,YouTube Ads,$3195.4800,204,10079,2025-08-12
CMP9663,Facebook Ads,$9450.4600,549,74561,09/25/2025
CMP3861,LinkedIn Ads,$3509.5900,373,41171,01/18/2025
CMP2416,Google Ads,$28013.1700,1466,60856,03/27/2025
CMP7134,Facebook Ads,$42263.5200,2472,84211,05/13/2025
CMP5344,Instagram Ads,$70546.9200,3803,70116,2025-07-01
CMP9284,YouTube Ads,$121386.0800,6262,78372,02/21/2025
CMP5634,LinkedIn Ads,$22585.3100,1618,36620,10/20/2025
CMP9973,Email Marketing,$21077.9200,6631,92919,06/19/2025
CMP6103,Google Ads,$20108.1600,2532,46284,2025-09-09
CMP5258,Instagram Ads,$90013.3100,6878,97525,02/15/2025
CMP7938,YouTube Ads,$5873.7800,510,51009,03/23/2025
CMP8590,YouTube Ads,$1333.2500,227,5794,04/13/2025
CMP3263,Instagram Ads,$43680.5700,3852,50280,11/22/2025
CMP7309,Facebook Ads,$59004.4900,4857,64204,06/26/2025
CMP0450,LinkedIn Ads,$3767.4400,216,8507,04/20/2025
CMP6710,YouTube Ads,$8721.7900,449,4628,12/16/2025
CMP0139,Facebook Ads,$42152.6400,2541,35081,2025-06-06
CMP3576,LinkedIn Ads,$42042.3200,3303,41602,2025-04-01
CMP4632,Instagram Ads,$19904.3000,1821,91707,06/22/2025
CMP4896,Facebook Ads,$18864.8400,1034,21651,2025-04-11
CMP8149,Instagram Ads,$16899.9700,1764,36003,01/19/2025
CMP3644,Email Marketing,$85708.2500,5279,72075,2025-10-12
CMP9147,Facebook Ads,$4821.6600,449,40506,05/13/2025
CMP3642,Instagram Ads,$54989.7000,3098,31272,2025-04-08
CMP1930,LinkedIn Ads,$8886.0800,699,9035,11/14/2025
CMP6254,YouTube Ads,$6003.0800,1742,41106,03/19/2025
CMP7497,Facebook Ads,$24632.7600,1527,43469,2025-07-09
CMP7407,Instagram Ads,$9312.8100,740,29444,03/23/2025
CMP6610,LinkedIn Ads,$8235.6500,3190,64573,2025-01-10
CMP8701,Facebook Ads,$1018.5800,396,4348,2025-08-05
CMP8247,YouTube Ads,$5165.1000,1418,42123,01/24/2025
CMP5536,LinkedIn Ads,$19052.1200,2242,92017,2025-08-09
CMP0314,Facebook Ads,$59758.7700,3028,31402,04/19/2025
CMP0613,LinkedIn Ads,$67826.7300,4240,85928,11/16/2025
CMP0324,Google Ads,$19068.0900,1947,92406,07/14/2025
CMP0153,Instagram Ads,$23341.3000,5470,57164,09/24/2025
CMP1719,YouTube Ads,$14730.8900,1978,96210,02/24/2025
CMP8572,Facebook Ads,$26119.4100,3406,48913,01/21/2025
CMP3843,Google Ads,$1745.1900,95,3671,10/21/2025
CMP1660,Instagram Ads,$40262.2000,3837,86454,2025-01-06
CMP0647,Instagram Ads,$25992.2900,2611,49214,2025-01-03
CMP2794,Instagram Ads,$69843.1100,3635,48861,05/18/2025
CMP7480,Instagram Ads,$65448.5000,3967,52556,11/29/2025
CMP2612,Google Ads,$53518.9500,4889,56529,10/19/2025
CMP0473,Email Marketing,$23989.0300,2190,97325,2025-07-09
CMP5149,Google Ads,$137777.8000,8648,94349,10/23/2025
CMP1561,LinkedIn Ads,$45069.0000,4122,88732,2025-06-12
CMP0191,Email Marketing,$36792.1700,2120,22568,2025-11-09
CMP0825,YouTube Ads,$31698.5500,2304,31190,07/26/2025
CMP1443,LinkedIn Ads,$12079.6800,2639,60598,2025-12-09
CMP0003,Google Ads,$105869.2400,7940,81194,2025-05-06
CMP5585,Instagram Ads,$5671.3500,886,9113,08/21/2025
CMP5953,Email Marketing,$4137.8700,984,61314,2025-04-12
CMP4784,YouTube Ads,$46016.1500,3112,70417,01/24/2025
CMP6705,Google Ads,$15129.8500,2552,35330,2025-03-03
CMP5537,Google Ads,$8047.8600,430,56325,2025-11-12
CMP8261,Facebook Ads,$1001.4200,85,67382,01/25/2025
CMP2904,Email Marketing,$22497.5400,1472,77832,2025-07-03
CMP8260,LinkedIn Ads,$93346.2300,5038,56875,2025-08-05
CMP2264,LinkedIn Ads,$104185.1400,5784,80974,09/20/2025
CMP9070,Email Marketing,$5380.2200,872,30487,05/29/2025
CMP2914,YouTube Ads,$78283.4000,5737,73105,12/30/2025
CMP6840,Email Marketing,$42711.2000,2392,71979,2025-05-08
CMP0928,Facebook Ads,$50722.5500,3122,36993,05/27/2025
CMP8867,Google Ads,$16130.3000,3757,49013,2025-12-12
CMP8371,Email Marketing,$40803.5000,2888,39701,07/15/2025
