"Campaign_id","Channel","Spend","Clicks","Impressions","Date",""
"CMP5664","Email Marketing","47505.77","3624","43114","9/19/2025",""
"CMP7145","Google Ads","79358.89","6656","70146","12/10/2025",""
"CMP5410","YouTube Ads","16152.4","1070","43145","6/3/2025",""
"CMP4845","YouTube Ads","4357.15","442","18683","7/14/2025",""
"CMP0007","Instagram Ads","9120.97","910","39606","10/24/2025",""
"CMP3502","YouTube Ads","33244.23","6078","64021","2/13/2025",""
"CMP3849","Email Marketing","31402.07","1890","42687","3/17/2025",""
"CMP1194","LinkedIn Ads","65499.22","5209","56321","12/23/2025",""
"CMP0091","Google Ads","10274.71","1842","57724","12/23/2025",""
"CMP1989","LinkedIn Ads","17977.46","1691","19477","9/29/2025",""
"CMP8271","LinkedIn Ads","67380.63","3702","73810","9/1/2025",""
"CMP8541","LinkedIn Ads","28995.35","3969","84149","2/9/2025",""
"CMP1321","Facebook Ads","9175.51","997","21769","3/20/2025",""
"CMP6813","Google Ads","16489.04","1770","29110","10/27/2025",""
"CMP4893","LinkedIn Ads","69478.02","4459","56921","10/7/2025",""
"CMP0476","LinkedIn Ads","51012.21","3362","46057","8/28/2025",""
"CMP9247","Email Marketing","1264.83","92","5552","3/11/2025",""
"CMP7450","Instagram Ads","23250.74","3155","46236","8/4/2025",""
"CMP5734","Facebook Ads","18985.43","1174","87215","11/30/2025",""
"CMP2497","Facebook Ads","14485.62","1019","18544","10/16/2025",""
"CMP9927","YouTube Ads","31030.48","1926","96156","3/25/2025",""
"CMP6150","LinkedIn Ads","12634.97","3299","95718","12/20/2025",""
"CMP9838","Google Ads","20796.08","6461","76177","9/30/2025",""
"CMP0208","LinkedIn Ads","9219.21","914","66251","7/5/2025",""
"CMP4426","YouTube Ads","70096.91","6395","72539","8/12/2025",""
"CMP1420","Instagram Ads","32001.44","2047","61087","10/19/2025",""
"CMP7989","Facebook Ads","18315.54","2166","48507","11/2/2025",""
"CMP3955","Email Marketing","49497.55","4052","55271","5/4/2025",""
"CMP1525","Instagram Ads","24918.31","1706","31045","6/6/2025",""
"CMP9018","Instagram Ads","27276.99","3767","48112","5/9/2025",""
"CMP8780","Email Marketing","5243.13","834","26267","9/5/2025",""
"CMP3181","Instagram Ads","8618.27","1528","31816","1/8/2025",""
"CMP4787","Email Marketing","23998.58","1356","18551","9/9/2025",""
"CMP5583","Facebook Ads","5842.33","308","8734","9/2/2025",""
"CMP0879","Facebook Ads","5163.92","1294","21555","5/8/2025",""
"CMP3698","YouTube Ads","68811.61","3740","51856","6/2/2025",""
"CMP1626","Facebook Ads","25009.49","3507","83987","2/11/2025",""
"CMP6694","LinkedIn Ads","58869.44","7749","92357","4/29/2025",""
"CMP3825","Instagram Ads","32712.32","3291","83927","10/6/2025",""
"CMP1170","Google Ads","16903.47","1309","23747","10/19/2025",""
"CMP6595","Instagram Ads","49835.56","4473","67597","2/11/2025",""
"CMP0424","Google Ads","48150.39","2811","32005","10/22/2025",""
"CMP2871","LinkedIn Ads","55157.57","5387","70021","5/23/2025",""
"CMP7701","Instagram Ads","22569.48","2780","55523","2/23/2025",""
"CMP6562","YouTube Ads","2081.14","515","6809","5/10/2025",""
"CMP8890","LinkedIn Ads","2856.65","494","56165","7/5/2025",""
"CMP8999","Facebook Ads","33034.92","1844","39752","9/6/2025",""
"CMP2595","Instagram Ads","1970.63","162","74199","2/17/2025",""
"CMP8166","Email Marketing","31678.6","2134","40254","8/1/2025",""
"CMP3123","YouTube Ads","110245.03","6163","68616","2/5/2025",""
"CMP0043","Instagram Ads","84766.95","4941","97164","10/24/2025",""
"CMP9043","YouTube Ads","71158.18","3780","51441","4/7/2025",""
"CMP0716","Instagram Ads","115748.76","7799","99609","7/15/2025",""
"CMP2069","YouTube Ads","49066","2769","79356","8/14/2025",""
"CMP2530","Google Ads","18711.53","2221","63537","12/21/2025",""
"CMP8743","LinkedIn Ads","71901.85","4047","43505","1/19/2025",""
"CMP1481","LinkedIn Ads","19959.97","1347","14903","2/21/2025",""
"CMP5315","Google Ads","13752.65","1518","40452","3/16/2025",""
"CMP2786","Facebook Ads","11116.33","833","12350","5/4/2025",""
"CMP7530","Instagram Ads","3700.87","203","89404","8/27/2025",""
"CMP5662","YouTube Ads","51567.8","2667","41210","12/20/2025",""
"CMP7917","Google Ads","20163.94","1612","33091","10/22/2025",""
"CMP6485","Instagram Ads","1382.68","75","3061","9/12/2025",""
"CMP3116","YouTube Ads","44432.08","2826","34850","12/4/2025",""
"CMP5062","LinkedIn Ads","6478.79","423","6373","2/16/2025",""
"CMP8838","Instagram Ads","76901.85","4160","71579","3/26/2025",""
"CMP1887","LinkedIn Ads","5305.81","338","11869","4/26/2025",""
"CMP4333","YouTube Ads","8780.19","981","18199","12/11/2025",""
"CMP1776","Email Marketing","5820.04","1981","32647","10/15/2025",""
"CMP7607","Email Marketing","15414.97","3394","41608","1/24/2025",""
"CMP8808","Facebook Ads","33866.51","3766","52940","12/23/2025",""
"CMP6798","Email Marketing","13964.16","1052","14978","5/24/2025",""
"CMP3869","Instagram Ads","12981.84","1454","15022","11/27/2025",""
"CMP7451","Google Ads","48397.64","3525","88870","11/2/2025",""
"CMP9251","Facebook Ads","6049.05","474","10992","4/30/2025",""
"CMP2130","YouTube Ads","18438.28","3320","34853","12/5/2025",""
"CMP9648","Instagram Ads","993.01","139","4068","3/6/2025",""
"CMP5932","YouTube Ads","9816.72","943","79812","4/24/2025",""
"CMP0511","Google Ads","33265.69","3340","64781","2/25/2025",""
"CMP9967","Facebook Ads","1308.99","179","10609","11/21/2025",""
"CMP8693","Instagram Ads","54881.01","4191","61469","2/20/2025",""
"CMP3523","LinkedIn Ads","18713.88","1921","61186","8/21/2025",""
"CMP4177","Instagram Ads","7320.27","1992","22006","2/13/2025",""
"CMP2132","YouTube Ads","12506.61","650","9861","10/15/2025",""
"CMP6930","Email Marketing","4474.47","344","8743","6/30/2025",""
"CMP3675","Google Ads","41142.26","4606","47890","5/23/2025",""
"CMP9122","Google Ads","107346.29","7661","81822","12/22/2025",""
"CMP5568","Instagram Ads","1701.37","96","2800","10/17/2025",""
"CMP1504","Email Marketing","16459.12","1812","71531","8/21/2025",""
"CMP9300","YouTube Ads","819.96","157","13135","11/13/2025",""
"CMP7958","YouTube Ads","25059.2","3442","59939","9/20/2025",""
"CMP9718","LinkedIn Ads","43553.83","5515","71066","4/23/2025",""
"CMP3461","Facebook Ads","10179.04","1235","35491","1/4/2025",""
"CMP3771","YouTube Ads","97576.24","6876","75233","7/1/2025",""
"CMP1276","Instagram Ads","44698.01","3566","77465","12/30/2025",""
"CMP2816","YouTube Ads","105978.44","5699","62305","2/15/2025",""
"CMP1289","LinkedIn Ads","18054.73","2831","42668","3/28/2025",""
"CMP5725","Instagram Ads","16381.09","2469","97339","3/16/2025",""
"CMP1235","Facebook Ads","86493.21","8145","84306","10/16/2025",""
"CMP5296","Email Marketing","13111.86","1286","43436","8/29/2025",""
"CMP5767","YouTube Ads","7247.64","685","11724","1/20/2025",""
"CMP1480","YouTube Ads","38787.15","4203","79867","10/25/2025",""
"CMP3085","Instagram Ads","44486.92","3946","81299","2/1/2025",""
"CMP2828","Google Ads","29953.95","2948","34472","8/13/2025",""
"CMP4635","LinkedIn Ads","40567.98","2821","55578","1/27/2025",""
"CMP4656","Instagram Ads","20942.93","2513","96861","10/26/2025",""
"CMP2113","YouTube Ads","11385.63","1438","94908","7/12/2025",""
"CMP8625","Google Ads","79641.66","6987","86675","1/10/2025",""
"CMP7968","Facebook Ads","3194.67","613","31693","6/1/2025",""
"CMP0619","Email Marketing","14544.89","1123","46140","3/20/2025",""
"CMP2713","Email Marketing","3943.84","407","59366","12/13/2025",""
"CMP7356","Facebook Ads","15902.62","2009","71993","8/29/2025",""
"CMP4617","LinkedIn Ads","42942.09","4370","67916","3/24/2025",""
"CMP7874","Instagram Ads","13305.07","890","74684","9/22/2025",""
"CMP8411","Facebook Ads","15268.85","801","59340","4/24/2025",""
"CMP6127","Facebook Ads","6505.78","718","52615","1/15/2025",""
"CMP2255","Google Ads","64798.29","3807","39601","12/23/2025",""
"CMP1299","Google Ads","15965.36","933","35544","10/8/2025",""
"CMP4935","Google Ads","2895","294","8258","11/15/2025",""
"CMP8783","Google Ads","60494.07","4013","84831","5/30/2025",""
"CMP3069","Email Marketing","16931.74","1452","89584","7/4/2025",""
"CMP9080","Google Ads","12724.49","3901","53177","7/18/2025",""
"CMP5650","Facebook Ads","27970.23","1748","98068","6/20/2025",""
"CMP2869","Email Marketing","62483.7","5746","62899","4/4/2025",""
"CMP4808","Facebook Ads","4572.34","254","7741","6/11/2025",""
"CMP0600","Email Marketing","10680.15","1221","27048","1/25/2025",""
"CMP6554","Email Marketing","27129.41","3217","59637","4/6/2025",""
"CMP4370","Google Ads","27187.96","7005","97300","11/5/2025",""
"CMP4844","Instagram Ads","75084.68","4986","60447","3/27/2025",""
"CMP5777","YouTube Ads","31474.95","2299","59008","1/30/2025",""
"CMP2622","Google Ads","23480.96","1788","20714","8/13/2025",""
"CMP5934","LinkedIn Ads","4123.09","315","76349","12/14/2025",""
"CMP2256","YouTube Ads","26485.78","3310","50096","5/23/2025",""
"CMP6341","YouTube Ads","9412.26","586","17435","12/27/2025",""
"CMP3280","Google Ads","6817.46","1796","19790","3/30/2025",""
"CMP5693","Email Marketing","7348.64","613","10511","6/3/2025",""
"CMP5923","YouTube Ads","10797.68","547","31391","3/13/2025",""
"CMP7658","YouTube Ads","23420.53","1303","19009","2/3/2025",""
"CMP6709","YouTube Ads","5972.09","306","11666","11/25/2025",""
"CMP9033","Email Marketing","24541.72","1540","79042","3/8/2025",""
"CMP4983","Facebook Ads","25854.2","1371","23229","4/26/2025",""
"CMP9025","Instagram Ads","10373.24","1330","18406","10/1/2025",""
"CMP2527","Facebook Ads","96240.3","5581","88341","10/16/2025",""
"CMP9450","Instagram Ads","55774","3503","87344","8/2/2025",""
"CMP4950","LinkedIn Ads","55639.34","3346","34096","7/27/2025",""
"CMP6810","LinkedIn Ads","14548.25","1721","62875","3/15/2025",""
"CMP2143","Instagram Ads","20270.08","4651","69499","5/4/2025",""
"CMP0830","Instagram Ads","49980.17","5091","52351","3/23/2025",""
"CMP8164","YouTube Ads","73949.61","4135","63186","9/12/2025",""
"CMP3525","YouTube Ads","1516.24","448","48254","9/11/2025",""
"CMP1762","LinkedIn Ads","13237.21","1857","19555","7/7/2025",""
"CMP3190","Instagram Ads","9141.35","2414","74512","9/16/2025",""
"CMP1947","Facebook Ads","7730.51","856","14672","6/23/2025",""
"CMP8194","Google Ads","435.93","89","7938","6/20/2025",""
"CMP2291","Instagram Ads","14209.13","2659","82356","11/12/2025",""
"CMP8026","Email Marketing","27080.6","2505","75783","1/9/2025",""
"CMP5041","Email Marketing","6291.72","486","92183","5/16/2025",""
"CMP2794","YouTube Ads","31935.46","6279","84447","12/15/2025",""
"CMP7226","Instagram Ads","12547.57","1290","56890","4/15/2025",""
"CMP1021","Email Marketing","6814.87","1112","20098","6/16/2025",""
"CMP8735","Instagram Ads","42295.37","2952","73601","12/15/2025",""
"CMP9144","Instagram Ads","20298.35","1269","31473","12/27/2025",""
"CMP9184","Email Marketing","5689.07","1228","37842","12/13/2025",""
"CMP2400","Instagram Ads","6610.99","344","7513","2/10/2025",""
"CMP3311","YouTube Ads","34534.41","2352","37537","3/12/2025",""
"CMP8701","Facebook Ads","13209.45","3864","85616","7/31/2025",""
"CMP9017","Facebook Ads","101822.81","5398","55334","9/1/2025",""
"CMP4677","Email Marketing","3402.88","837","9754","10/21/2025",""
"CMP2869","LinkedIn Ads","3950.2","198","25040","7/23/2025",""
"CMP0614","Google Ads","31003.72","2376","41110","6/21/2025",""
"CMP2199","YouTube Ads","13422.55","2285","63344","2/27/2025",""
"CMP3051","Google Ads","91054.09","5573","98549","10/18/2025",""
"CMP7008","YouTube Ads","7231.08","760","44982","2/18/2025",""
"CMP4273","LinkedIn Ads","29482.9","1879","32870","6/18/2025",""
"CMP5891","Email Marketing","4312.62","304","32972","8/27/2025",""
"CMP5096","Email Marketing","25166.84","1358","17389","6/1/2025",""
"CMP2510","LinkedIn Ads","30407.4","3110","81395","10/9/2025",""
"CMP9762","Google Ads","43554.9","3709","70879","7/5/2025",""
"CMP8282","Facebook Ads","22774.26","4446","77065","6/17/2025",""
"CMP8009","Google Ads","61596.16","3699","68895","8/21/2025",""
"CMP7576","Email Marketing","2149.84","228","42392","1/2/2025",""
"CMP1045","YouTube Ads","3578.06","965","9897","8/30/2025",""
"CMP6888","Instagram Ads","65983.15","3724","52132","7/13/2025",""
"CMP5698","Google Ads","21101.68","2250","25392","3/7/2025",""
"CMP8921","LinkedIn Ads","53381.11","3157","71721","5/7/2025",""
"CMP1849","Google Ads","91740.68","6918","88533","1/9/2025",""
"CMP9795","Email Marketing","5745.07","847","94181","1/23/2025",""
"CMP0925","Facebook Ads","15960.14","2419","68046","10/22/2025",""
"CMP3882","Instagram Ads","29063.09","2068","20777","4/24/2025",""
"CMP2870","Email Marketing","86190.85","7049","90965","1/25/2025",""
"CMP6822","LinkedIn Ads","11614.53","1278","21558","10/3/2025",""
"CMP7587","Google Ads","66666.37","3430","75713","10/13/2025",""
"CMP1296","LinkedIn Ads","9582.01","807","50637","4/8/2025",""
"CMP1193","Facebook Ads","85260.05","5983","79015","4/22/2025",""
"CMP3471","Facebook Ads","30704.8","1972","99186","9/3/2025",""
"CMP3922","YouTube Ads","21694.62","2368","44154","10/1/2025",""
"CMP7636","Google Ads","122544.3","7742","96688","6/13/2025",""
"CMP3626","Email Marketing","819.37","116","21126","10/27/2025",""
"CMP6224","YouTube Ads","25425.43","2095","34208","12/17/2025",""
"CMP7551","Facebook Ads","31789.71","5820","98045","10/7/2025",""
"CMP0555","Google Ads","13399.28","844","89584","7/31/2025",""
"CMP3584","YouTube Ads","11054.32","3107","61770","11/23/2025",""
"CMP6740","Google Ads","4859.42","321","4192","10/2/2025",""
"CMP2938","Google Ads","5733.71","1123","14624","4/9/2025",""
"CMP6113","LinkedIn Ads","31605.21","4678","62161","12/23/2025",""
"CMP0520","Google Ads","28721.08","3156","55120","9/1/2025",""
"CMP7110","Email Marketing","15090","831","45420","1/22/2025",""
"CMP0763","Google Ads","84678.82","4643","91709","10/16/2025",""
"CMP2363","Email Marketing","5261.39","680","54205","10/16/2025",""
"CMP6289","Email Marketing","33023.67","1668","20343","2/10/2025",""
"CMP1246","Instagram Ads","84077.53","6349","81320","11/1/2025",""
"CMP8039","Facebook Ads","86882.6","4580","48636","8/10/2025",""
"CMP4840","Facebook Ads","4935.32","1254","95468","3/20/2025",""
"CMP5910","Google Ads","1140.11","60","13995","8/16/2025",""
"CMP7354","YouTube Ads","40944.36","4247","74710","1/14/2025",""
"CMP5316","LinkedIn Ads","1938.59","199","3617","2/13/2025",""
"CMP2778","Facebook Ads","9233.9","1283","37247","3/16/2025",""
"CMP1261","Instagram Ads","16022.68","1060","34990","9/11/2025",""
"CMP0111","LinkedIn Ads","52398.57","3162","45544","6/18/2025",""
"CMP9739","Facebook Ads","17795.6","1363","41378","12/22/2025",""
"CMP5229","Instagram Ads","157313.8","8094","98321","5/5/2025",""
"CMP1866","YouTube Ads","49381.54","2475","28188","4/3/2025",""
"CMP7184","Instagram Ads","19912.13","1183","92811","7/29/2025",""
"CMP2526","Email Marketing","11906.8","3138","57460","11/3/2025",""
"CMP6854","YouTube Ads","6177.45","418","6818","10/2/2025",""
"CMP5817","Facebook Ads","9576.18","775","86803","11/27/2025",""
"CMP3638","YouTube Ads","104852.5","8549","99891","12/19/2025",""
"CMP9644","Email Marketing","10961.42","1284","67597","1/13/2025",""
"CMP1902","Email Marketing","6072.02","763","20569","8/22/2025",""
"CMP7413","Instagram Ads","2179.22","664","10804","12/30/2025",""
"CMP2693","Email Marketing","12010.99","2163","33970","3/23/2025",""
"CMP3023","Facebook Ads","67183.79","7130","85948","11/11/2025",""
"CMP3520","Facebook Ads","46388.26","3131","38483","2/2/2025",""
"CMP7497","Google Ads","49216.4","2797","36387","9/28/2025",""
"CMP5701","Instagram Ads","28186.72","5107","62012","12/11/2025",""
"CMP1932","Facebook Ads","5748.91","1008","42026","12/22/2025",""
"CMP6287","LinkedIn Ads","27828.27","2043","26347","12/22/2025",""
"CMP5155","LinkedIn Ads","16376.08","928","83187","1/5/2025",""
"CMP8282","Email Marketing","49253.93","3401","66876","8/1/2025",""
"CMP3614","Instagram Ads","2129.91","331","6285","5/28/2025",""
"CMP9007","YouTube Ads","5497.31","1222","16838","10/6/2025",""
"CMP3581","LinkedIn Ads","21720.18","1388","15423","6/2/2025",""
"CMP7194","Google Ads","15168.75","909","33056","10/29/2025",""
"CMP2282","Facebook Ads","3655.56","293","29124","9/30/2025",""
"CMP4795","Instagram Ads","42933.98","2240","77069","9/21/2025",""
"CMP2079","Email Marketing","2838.25","561","19392","6/14/2025",""
"CMP4403","Email Marketing","32509.98","3123","56293","11/21/2025",""
"CMP6047","LinkedIn Ads","34640.61","2731","65968","2/17/2025",""
"CMP8757","LinkedIn Ads","30635.11","1809","30551","9/11/2025",""
"CMP9276","LinkedIn Ads","1473.58","446","47054","11/17/2025",""
"CMP7480","Google Ads","34011.37","1707","58072","3/9/2025",""
"CMP1351","Instagram Ads","9404.73","2761","89098","11/17/2025",""
"CMP1560","Google Ads","7739.45","2003","29973","10/31/2025",""
"CMP5630","Google Ads","27602.93","5735","57353","2/6/2025",""
"CMP5134","Instagram Ads","5619.74","611","41223","3/10/2025",""
"CMP2689","LinkedIn Ads","24217.06","1795","48030","3/19/2025",""
"CMP1647","Facebook Ads","19200.88","1257","18142","6/29/2025",""
"CMP4066","YouTube Ads","75074","4965","80774","5/26/2025",""
"CMP3091","Email Marketing","34119.5","2471","53347","5/3/2025",""
"CMP1164","YouTube Ads","4409.42","234","3581","3/9/2025",""
"CMP7718","Google Ads","1288.64","350","4187","5/15/2025",""
"CMP8210","LinkedIn Ads","13187.62","3345","57518","10/2/2025",""
"CMP8378","Facebook Ads","12960.87","1388","22365","11/21/2025",""
"CMP3910","Google Ads","7528.44","403","34044","3/1/2025",""
"CMP2878","Google Ads","1773.15","120","3660","3/25/2025",""
"CMP4248","Facebook Ads","17011.36","1089","50741","5/18/2025",""
"CMP1047","Instagram Ads","128036.89","9497","95365","9/12/2025",""
"CMP2735","Instagram Ads","17540.38","1094","22618","10/21/2025",""
"CMP0202","Facebook Ads","4727.49","533","8026","3/18/2025",""
"CMP6871","Facebook Ads","20381.09","2083","44179","6/13/2025",""
"CMP0863","Facebook Ads","42536.79","2162","31253","7/25/2025",""
"CMP1416","YouTube Ads","1029.95","115","61866","5/30/2025",""
"CMP9695","LinkedIn Ads","36169.71","2288","27614","5/6/2025",""
"CMP0158","Instagram Ads","1980.49","218","2191","6/7/2025",""
"CMP0982","Facebook Ads","19129","4634","95277","4/29/2025",""
"CMP1392","YouTube Ads","5247.59","1085","14527","7/21/2025",""
"CMP2142","Facebook Ads","19460.52","1119","40230","7/21/2025",""
"CMP3322","Facebook Ads","4916.94","942","78638","3/26/2025",""
"CMP3402","LinkedIn Ads","27444.22","3845","42410","3/3/2025",""
"CMP9885","Google Ads","7093.17","1392","30183","12/31/2025",""
"CMP4263","Facebook Ads","8099.36","464","6073","10/12/2025",""
"CMP2291","Google Ads","1379.55","81","3567","4/24/2025",""
"CMP1377","YouTube Ads","40264.35","2170","78823","2/8/2025",""
"CMP2111","Google Ads","3419.29","1053","45456","8/25/2025",""
"CMP8129","Google Ads","19583.03","3545","52165","4/20/2025",""
"CMP4027","Email Marketing","20322.74","2093","40680","10/9/2025",""
"CMP3268","Email Marketing","28308.38","2091","70919","10/6/2025",""
"CMP7941","Instagram Ads","33853.44","4165","76141","5/19/2025",""
"CMP4603","Google Ads","38408.52","4387","63824","10/27/2025",""
"CMP8744","Email Marketing","16587.47","832","9328","4/23/2025",""
"CMP2847","Facebook Ads","19969.13","2476","33005","12/24/2025",""
"CMP9301","YouTube Ads","22973.03","1203","20625","9/10/2025",""
"CMP3812","YouTube Ads","1534.38","131","30679","1/1/2025",""
"CMP2908","Instagram Ads","366.12","72","9806","12/27/2025",""
"CMP6121","Email Marketing","83304.81","6531","88787","6/22/2025",""
"CMP7983","Email Marketing","21971.41","1477","43586","10/15/2025",""
"CMP5027","Email Marketing","23051.91","4875","92242","1/1/2025",""
"CMP3620","Email Marketing","17040.62","902","76127","3/14/2025",""
"CMP1454","Email Marketing","57253.93","5550","89821","5/16/2025",""
"CMP1771","Email Marketing","573.74","62","2167","8/3/2025",""
"CMP6150","Google Ads","66473.06","4785","64847","12/18/2025",""
"CMP4832","Google Ads","41928.3","2189","43774","2/7/2025",""
"CMP1526","Instagram Ads","92035.28","5076","79860","12/27/2025",""
"CMP2574","Google Ads","4438.71","728","15272","4/8/2025",""
"CMP4347","Email Marketing","8441.2","1268","38899","1/26/2025",""
"CMP5912","Google Ads","5871.09","767","58047","12/5/2025",""
"CMP4782","Google Ads","7864.6","996","64071","7/23/2025",""
"CMP6350","Facebook Ads","28453.42","3174","50630","8/17/2025",""
"CMP4401","YouTube Ads","3195.48","204","10079","12/8/2025",""
"CMP9663","Facebook Ads","9450.46","549","74561","9/25/2025",""
"CMP3861","LinkedIn Ads","3509.59","373","41171","1/18/2025",""
"CMP2416","Google Ads","28013.17","1466","60856","3/27/2025",""
"CMP7134","Facebook Ads","42263.52","2472","84211","5/13/2025",""
"CMP5344","Instagram Ads","70546.92","3803","70116","1/7/2025",""
"CMP9284","YouTube Ads","121386.08","6262","78372","2/21/2025",""
"CMP5634","LinkedIn Ads","22585.31","1618","36620","10/20/2025",""
"CMP9973","Email Marketing","21077.92","6631","92919","6/19/2025",""
"CMP6103","Google Ads","20108.16","2532","46284","9/9/2025",""
"CMP5258","Instagram Ads","90013.31","6878","97525","2/15/2025",""
"CMP7938","YouTube Ads","5873.78","510","51009","3/23/2025",""
"CMP8590","YouTube Ads","1333.25","227","5794","4/13/2025",""
"CMP3263","Instagram Ads","43680.57","3852","50280","11/22/2025",""
"CMP7309","Facebook Ads","59004.49","4857","64204","6/26/2025",""
"CMP0450","LinkedIn Ads","3767.44","216","8507","4/20/2025",""
"CMP6710","YouTube Ads","8721.79","449","4628","12/16/2025",""
"CMP0139","Facebook Ads","42152.64","2541","35081","6/6/2025",""
"CMP3576","LinkedIn Ads","42042.32","3303","41602","1/4/2025",""
"CMP4632","Instagram Ads","19904.3","1821","91707","6/22/2025",""
"CMP4896","Facebook Ads","18864.84","1034","21651","11/4/2025",""
"CMP8149","Instagram Ads","16899.97","1764","36003","1/19/2025",""
"CMP3644","Email Marketing","85708.25","5279","72075","12/10/2025",""
"CMP9147","Facebook Ads","4821.66","449","40506","5/13/2025",""
"CMP3642","Instagram Ads","54989.7","3098","31272","8/4/2025",""
"CMP1930","LinkedIn Ads","8886.08","699","9035","11/14/2025",""
"CMP6254","YouTube Ads","6003.08","1742","41106","3/19/2025",""
"CMP7497","Facebook Ads","24632.76","1527","43469","9/7/2025",""
"CMP7407","Instagram Ads","9312.81","740","29444","3/23/2025",""
"CMP6610","LinkedIn Ads","8235.65","3190","64573","10/1/2025",""
"CMP8701","Facebook Ads","1018.58","396","4348","5/8/2025",""
"CMP8247","YouTube Ads","5165.1","1418","42123","1/24/2025",""
"CMP5536","LinkedIn Ads","19052.12","2242","92017","9/8/2025",""
"CMP0314","Facebook Ads","59758.77","3028","31402","4/19/2025",""
"CMP0613","LinkedIn Ads","67826.73","4240","85928","11/16/2025",""
"CMP0324","Google Ads","19068.09","1947","92406","7/14/2025",""
"CMP0153","Instagram Ads","23341.3","5470","57164","9/24/2025",""
"CMP1719","YouTube Ads","14730.89","1978","96210","2/24/2025",""
"CMP8572","Facebook Ads","26119.41","3406","48913","1/21/2025",""
"CMP3843","Google Ads","1745.19","95","3671","10/21/2025",""
"CMP1660","Instagram Ads","40262.2","3837","86454","6/1/2025",""
"CMP0647","Instagram Ads","25992.29","2611","49214","3/1/2025",""
"CMP2794","Instagram Ads","69843.11","3635","48861","5/18/2025",""
"CMP7480","Instagram Ads","65448.5","3967","52556","11/29/2025",""
"CMP2612","Google Ads","53518.95","4889","56529","10/19/2025",""
"CMP0473","Email Marketing","23989.03","2190","97325","9/7/2025",""
"CMP5149","Google Ads","137777.8","8648","94349","10/23/2025",""
"CMP1561","LinkedIn Ads","45069","4122","88732","12/6/2025",""
"CMP0191","Email Marketing","36792.17","2120","22568","9/11/2025",""
"CMP0825","YouTube Ads","31698.55","2304","31190","7/26/2025",""
"CMP1443","LinkedIn Ads","12079.68","2639","60598","9/12/2025",""
"CMP0003","Google Ads","105869.24","7940","81194","6/5/2025",""
"CMP5585","Instagram Ads","5671.35","886","9113","8/21/2025",""
"CMP5953","Email Marketing","4137.87","984","61314","12/4/2025",""
"CMP4784","YouTube Ads","46016.15","3112","70417","1/24/2025",""
