Conversion_id,User_id,Revenue,Conversion_date,Revenue_Log,Revenue_Rank,High_Value_Conversion,Revenue_Category,Conversion_Year,Conversion_Month,Conversion_Weekday,Conversion_Quarter,Conversion_Day
CONV00174,U4090,9709.38,16-03-2025,9.180950695,1636,0,Very High,2025,March,Sunday,1,16
CONV00175,U7312,34852.04,05-05-2025,10.45889564,611,1,Very High,2025,May,Monday,2,5
CONV00176,U7293,49335.45,07-03-2025,10.80641844,23,1,Very High,2025,March,Friday,1,7
CONV00177,U2581,35160.85,05-01-2026,10.46771697,599,1,Very High,2026,January,Monday,1,5
CONV00178,U3879,27924.06,21-09-2025,10.23727977,905,1,Very High,2025,September,Sunday,3,21
CONV00179,U5068,24193.92,05-08-2025,10.09389797,1044,0,Very High,2025,August,Tuesday,3,5
CONV00180,U1216,26109.32,23-08-2025,10.17008592,978,1,Very High,2025,August,Saturday,3,23
CONV00181,U7089,6645.98,19-09-2025,8.801917895,1759,0,Very High,2025,September,Friday,3,19
CONV00182,U5670,4403.57,29-09-2025,8.390397917,1845,0,Very High,2025,September,Monday,3,29
CONV00183,U1531,29794.52,03-10-2025,10.30211333,812,1,Very High,2025,October,Friday,4,3
CONV00184,U0675,47453.07,08-02-2025,10.76751757,92,1,Very High,2025,February,Saturday,1,8
CONV00185,U0497,14838.75,12-10-2025,9.60506467,1408,0,Very High,2025,October,Sunday,4,12
CONV00186,U4874,3465.7,04-09-2025,8.150958412,1887,0,Very High,2025,September,Thursday,3,4
CONV00187,U5122,17595.84,25-06-2025,9.775474619,1302,0,Very High,2025,June,Wednesday,2,25
CONV00188,U7643,12771.98,07-03-2025,9.455087281,1500,0,Very High,2025,March,Friday,1,7
CONV00189,U5365,9896.79,28-10-2025,9.200066779,1628,0,Very High,2025,October,Tuesday,4,28
CONV00190,U0380,23132.92,23-02-2025,10.04905522,1088,0,Very High,2025,February,Sunday,1,23
CONV00191,U9790,14644.54,01-12-2025,9.591891131,1417,0,Very High,2025,December,Monday,4,1
CONV00192,U6607,3032.31,24-07-2025,8.017409711,1901,0,Very High,2025,July,Thursday,3,24
CONV00193,U7379,49459.99,30-10-2025,10.80893956,15,1,Very High,2025,October,Thursday,4,30
CONV00194,U9140,30321.92,19-07-2025,10.31965914,797,1,Very High,2025,July,Saturday,3,19
CONV00195,U7762,30509.9,09-10-2025,10.32583928,786,1,Very High,2025,October,Thursday,4,9
CONV00196,U4903,41500.32,17-11-2025,10.63348051,314,1,Very High,2025,November,Monday,4,17
CONV00197,U6036,49004.95,07-07-2025,10.799697,34,1,Very High,2025,July,Monday,3,7
CONV00198,U9478,3042.08,07-11-2025,8.020625439,1900,0,Very High,2025,November,Friday,4,7
CONV00199,U3969,5939.83,17-01-2025,8.689604133,1779,0,Very High,2025,January,Friday,1,17
CONV00200,U6724,23844.47,11-10-2025,10.07934954,1057,0,Very High,2025,October,Saturday,4,11
CONV00201,U7838,47855.93,11-10-2025,10.77597121,79,1,Very High,2025,October,Saturday,4,11
CONV00202,U4332,47888.2,17-11-2025,10.77664529,75,1,Very High,2025,November,Monday,4,17
CONV00203,U3397,16193.52,31-12-2025,9.692428192,1358,0,Very High,2025,December,Wednesday,4,31
CONV00204,U8900,17584.17,07-08-2025,9.774811212,1306,0,Very High,2025,August,Thursday,3,7
CONV00205,U5675,37493.26,21-08-2025,10.53194313,492,1,Very High,2025,August,Thursday,3,21
CONV00206,U1790,12344.46,13-11-2025,9.421043663,1522,0,Very High,2025,November,Thursday,4,13
CONV00207,U5412,38652.92,30-08-2025,10.56240347,443,1,Very High,2025,August,Saturday,3,30
CONV00208,U7823,48213.74,10-12-2025,10.78342006,62,1,Very High,2025,December,Wednesday,4,10
CONV00209,U3805,42591.49,02-10-2025,10.65943323,265,1,Very High,2025,October,Thursday,4,2
CONV00210,U8117,46338.97,04-05-2025,10.74376015,135,1,Very High,2025,May,Sunday,2,4
CONV00211,U4663,26453.77,18-09-2025,10.18319176,964,1,Very High,2025,September,Thursday,3,18
CONV00212,U5418,32590.12,16-04-2025,10.39179514,702,1,Very High,2025,April,Wednesday,2,16
CONV00213,U3165,32116.93,12-04-2025,10.37716972,725,1,Very High,2025,April,Saturday,2,12
CONV00214,U3028,46823.36,13-03-2025,10.75415886,116,1,Very High,2025,March,Thursday,1,13
CONV00215,U4948,1066.07,15-11-2025,6.972671854,1976,0,Very High,2025,November,Saturday,4,15
CONV00216,U5027,25374.76,20-04-2025,10.14154967,1009,0,Very High,2025,April,Sunday,2,20
CONV00217,U6022,47889.35,26-11-2025,10.7766693,74,1,Very High,2025,November,Wednesday,4,26
CONV00218,U7715,11311.38,10-10-2025,9.33365298,1568,0,Very High,2025,October,Friday,4,10
CONV00219,U1280,41524.32,13-11-2025,10.63405864,313,1,Very High,2025,November,Thursday,4,13
CONV00220,U8526,10667.37,02-09-2025,9.275038568,1592,0,Very High,2025,September,Tuesday,3,2
CONV00221,U2162,28413.6,07-10-2025,10.25465838,884,1,Very High,2025,October,Tuesday,4,7
CONV00222,U3571,21473.02,15-11-2025,9.974599111,1169,0,Very High,2025,November,Saturday,4,15
CONV00223,U0520,38564.12,20-06-2025,10.56010352,445,1,Very High,2025,June,Friday,2,20
CONV00224,U6155,43790.41,15-02-2025,10.68719296,231,1,Very High,2025,February,Saturday,1,15
CONV00225,U3649,23418.69,25-01-2025,10.0613324,1075,0,Very High,2025,January,Saturday,1,25
CONV00226,U7547,9829.78,25-07-2025,9.193273559,1632,0,Very High,2025,July,Friday,3,25
CONV00227,U3944,29900.24,30-04-2025,10.30565523,808,1,Very High,2025,April,Wednesday,2,30
CONV00228,U6591,11254.83,09-09-2025,9.328641496,1571,0,Very High,2025,September,Tuesday,3,9
CONV00229,U5225,33790.33,02-11-2025,10.42795954,659,1,Very High,2025,November,Sunday,4,2
CONV00230,U6776,28057.55,21-06-2025,10.24204868,901,1,Very High,2025,June,Saturday,2,21
CONV00231,U5643,39397.33,06-12-2025,10.58147871,403,1,Very High,2025,December,Saturday,4,6
CONV00232,U7759,42948.29,08-05-2025,10.6677754,256,1,Very High,2025,May,Thursday,2,8
CONV00233,U8684,13122.28,20-03-2025,9.482143031,1483,0,Very High,2025,March,Thursday,1,20
CONV00234,U0845,30445.99,19-05-2025,10.32374242,792,1,Very High,2025,May,Monday,2,19
CONV00235,U7855,47872.48,17-04-2025,10.77631698,77,1,Very High,2025,April,Thursday,2,17
CONV00236,U3975,10623.4,21-01-2026,9.270908522,1593,0,Very High,2026,January,Wednesday,1,21
CONV00237,U5887,25884.42,22-06-2025,10.16143515,984,1,Very High,2025,June,Sunday,2,22
CONV00238,U3329,2762.91,05-08-2025,7.924401623,1911,0,Very High,2025,August,Tuesday,3,5
CONV00239,U9489,10211.49,09-08-2025,9.23136676,1611,0,Very High,2025,August,Saturday,3,9
CONV00240,U5531,32263.88,27-05-2025,10.38173461,721,1,Very High,2025,May,Tuesday,2,27
CONV00241,U8001,47883.23,21-04-2025,10.7765415,76,1,Very High,2025,April,Monday,2,21
CONV00242,U2253,35504.89,19-11-2025,10.47745388,582,1,Very High,2025,November,Wednesday,4,19
CONV00243,U7917,827.31,21-12-2025,6.71938748,1987,0,High,2025,December,Sunday,4,21
CONV00244,U4698,35044.02,22-01-2025,10.4643888,603,1,Very High,2025,January,Wednesday,1,22
CONV00245,U8626,39849.35,12-05-2025,10.59288647,382,1,Very High,2025,May,Monday,2,12
CONV00246,U3701,42469.42,23-06-2025,10.65656311,269,1,Very High,2025,June,Monday,2,23
CONV00247,U0920,8983.49,08-12-2025,9.103255036,1665,0,Very High,2025,December,Monday,4,8
CONV00248,U3765,28555.82,27-04-2025,10.25965107,873,1,Very High,2025,April,Sunday,2,27
CONV00249,U0540,48092.72,20-04-2025,10.78090689,65,1,Very High,2025,April,Sunday,2,20
CONV00250,U3940,44878.03,28-10-2025,10.71172593,193,1,Very High,2025,October,Tuesday,4,28
CONV00251,U8205,22135.87,23-07-2025,10.00499982,1133,0,Very High,2025,July,Wednesday,3,23
CONV00252,U6500,14029.69,01-07-2025,9.549002352,1446,0,Very High,2025,July,Tuesday,3,1
CONV00253,U3044,19313.6,08-01-2026,9.868616566,1244,0,Very High,2026,January,Thursday,1,8
CONV00254,U6226,37112.94,10-01-2026,10.52174792,512,1,Very High,2026,January,Saturday,1,10
CONV00255,U5897,4821.21,01-06-2025,8.480987608,1827,0,Very High,2025,June,Sunday,2,1
CONV00256,U1469,30047.77,26-07-2025,10.31057701,803,1,Very High,2025,July,Saturday,3,26
CONV00257,U9168,8894.35,17-05-2025,9.093283947,1670,0,Very High,2025,May,Saturday,2,17
CONV00258,U1037,21344.57,11-04-2025,9.968599503,1174,0,Very High,2025,April,Friday,2,11
CONV00259,U9729,5795.13,21-11-2025,8.664945732,1786,0,Very High,2025,November,Friday,4,21
CONV00260,U7213,41264.99,11-07-2025,10.62779395,328,1,Very High,2025,July,Friday,3,11
CONV00261,U3291,48246.44,03-10-2025,10.78409805,61,1,Very High,2025,October,Friday,4,3
CONV00262,U5340,39400.39,23-07-2025,10.58155637,402,1,Very High,2025,July,Wednesday,3,23
CONV00263,U9013,47177.26,20-01-2025,10.76168847,105,1,Very High,2025,January,Monday,1,20
CONV00264,U8181,12480.05,03-04-2025,9.431966773,1516,0,Very High,2025,April,Thursday,2,3
CONV00265,U7852,25577.33,24-11-2025,10.14950079,1002,0,Very High,2025,November,Monday,4,24
CONV00266,U9730,38563.23,14-12-2025,10.56008044,447,1,Very High,2025,December,Sunday,4,14
CONV00267,U6548,1022.11,27-06-2025,6.930602287,1977,0,Very High,2025,June,Friday,2,27
CONV00268,U9425,19861.14,18-05-2025,9.896570686,1220,0,Very High,2025,May,Sunday,2,18
CONV00269,U7910,46067.1,25-02-2025,10.73787602,152,1,Very High,2025,February,Tuesday,1,25
CONV00270,U3390,24070.05,08-10-2025,10.08876515,1049,0,Very High,2025,October,Wednesday,4,8
CONV00271,U1886,5913.45,06-02-2025,8.685153788,1780,0,Very High,2025,February,Thursday,1,6
CONV00272,U5423,11976.85,26-10-2025,9.39081439,1539,0,Very High,2025,October,Sunday,4,26
CONV00273,U3233,19747.37,10-09-2025,9.890826235,1226,0,Very High,2025,September,Wednesday,3,10
