User_id,Channel,Interaction_date,Campaign_id
U6746,LinkedIn Ads,11-12-2025,CMP2689
U7036,Facebook Ads,06-11-2025,CMP1647
U0440,YouTube Ads,12-04-2025,CMP4066
U8109,Email Marketing,07/17/2025,CMP3091
U6338,YouTube Ads,10/19/2025,CMP1164
U3535,Google Ads,01/21/2025,CMP7718
U8809,LinkedIn Ads,11-12-2025,CMP8210
U1084,Facebook Ads,06-08-2025,CMP8378
U7429,Google Ads,11-10-2025,CMP3910
U8134,Google Ads,06/27/2025,CMP2878
U1935,Facebook Ads,01/16/2025,CMP4248
U7458,Instagram Ads,09/19/2025,CMP1047
U1890,Instagram Ads,04/27/2025,CMP2735
U2933,Facebook Ads,01/19/2025,CMP0202
U4445,Facebook Ads,02-09-2025,CMP6871
U1130,Facebook Ads,08/27/2025,CMP0863
U9238,YouTube Ads,06-05-2025,CMP1416
U2467,LinkedIn Ads,01-04-2025,CMP9695
U1704,Instagram Ads,04/16/2025,CMP0158
U8516,Facebook Ads,07/31/2025,CMP0982
U1227,YouTube Ads,10/31/2025,CMP1392
U5346,Facebook Ads,06-12-2025,CMP2142
U7366,Facebook Ads,08/27/2025,CMP3322
U1482,LinkedIn Ads,03/22/2025,CMP3402
U4067,Google Ads,07-02-2025,CMP9885
U9014,Facebook Ads,05-08-2025,CMP4263
U2142,Google Ads,04-12-2025,CMP2291
U0358,YouTube Ads,02-03-2025,CMP1377
U0830,Google Ads,03/28/2025,CMP2111
U3067,Google Ads,05/21/2025,CMP8129
U7849,Email Marketing,02-01-2025,CMP4027
U0320,Email Marketing,07/15/2025,CMP3268
U2947,Instagram Ads,01/14/2025,CMP7941
U3814,Google Ads,03/23/2025,CMP4603
U9433,Email Marketing,07/18/2025,CMP8744
U5879,Facebook Ads,10/30/2025,CMP2847
U8883,YouTube Ads,06-08-2025,CMP9301
U5436,YouTube Ads,11-11-2025,CMP3812
U2321,Instagram Ads,02/26/2025,CMP2908
U4945,Email Marketing,06/15/2025,CMP6121
U5847,Email Marketing,04/25/2025,CMP7983
U9386,Email Marketing,07/20/2025,CMP5027
U5426,Email Marketing,02-09-2025,CMP3620
U3436,Email Marketing,05-08-2025,CMP1454
U2726,Email Marketing,07/31/2025,CMP1771
U3696,Google Ads,03/25/2025,CMP6150
U5601,Google Ads,03/29/2025,CMP4832
U0508,Instagram Ads,08-09-2025,CMP1526
U6706,Google Ads,12/23/2025,CMP2574
U6438,Email Marketing,10/20/2025,CMP4347
U9834,Google Ads,09-03-2025,CMP5912
U7716,Google Ads,09-08-2025,CMP4782
U0732,Facebook Ads,05/15/2025,CMP6350
U1585,YouTube Ads,02/13/2025,CMP4401
U6859,Facebook Ads,10-02-2025,CMP9663
U8227,LinkedIn Ads,10/20/2025,CMP3861
U3472,Google Ads,04-09-2025,CMP2416
U5239,Facebook Ads,02-04-2025,CMP7134
U9627,Instagram Ads,09/25/2025,CMP5344
U1731,YouTube Ads,10/16/2025,CMP9284
U9978,LinkedIn Ads,08/31/2025,CMP5634
U3893,Email Marketing,01/26/2025,CMP9973
U1610,Google Ads,04/27/2025,CMP6103
U3080,Instagram Ads,08/15/2025,CMP5258
U1076,YouTube Ads,06-09-2025,CMP7938
U0945,YouTube Ads,05-08-2025,CMP8590
U2030,Instagram Ads,12/15/2025,CMP3263
U2680,Facebook Ads,05/13/2025,CMP7309
U3627,LinkedIn Ads,11/28/2025,CMP0450
U0146,YouTube Ads,08/31/2025,CMP6710
U4512,Facebook Ads,08-05-2025,CMP0139
U8381,LinkedIn Ads,12-06-2025,CMP3576
U4530,Instagram Ads,11/24/2025,CMP4632
U6621,Facebook Ads,12-05-2025,CMP4896
U9553,Instagram Ads,12/29/2025,CMP8149
U5874,Email Marketing,09/17/2025,CMP3644
U9160,Facebook Ads,04-04-2025,CMP9147
U5429,Instagram Ads,07-10-2025,CMP3642
U1167,LinkedIn Ads,08/30/2025,CMP1930
U2251,YouTube Ads,04/13/2025,CMP6254
U5450,Facebook Ads,11/20/2025,CMP7497
U8022,Instagram Ads,02/15/2025,CMP7407
U3268,LinkedIn Ads,07-11-2025,CMP6610
U3708,Facebook Ads,12/22/2025,CMP8701
U4886,YouTube Ads,05/29/2025,CMP8247
U5886,LinkedIn Ads,04-07-2025,CMP5536
U0360,Facebook Ads,10/29/2025,CMP0314
U0797,LinkedIn Ads,11-01-2025,CMP0613
U2025,Google Ads,10-08-2025,CMP0324
U4424,Instagram Ads,11/15/2025,CMP0153
U8155,YouTube Ads,04-12-2025,CMP1719
U8981,Facebook Ads,09-12-2025,CMP8572
U8096,Google Ads,03/18/2025,CMP3843
U4328,Instagram Ads,08/26/2025,CMP1660
U1557,Instagram Ads,01/24/2025,CMP0647
U1523,Instagram Ads,07-10-2025,CMP2794
U2733,Instagram Ads,02/27/2025,CMP7480
U7179,Google Ads,04-03-2025,CMP2612
U1851,Email Marketing,07/30/2025,CMP0473
U9258,Google Ads,04/25/2025,CMP5149
U6306,LinkedIn Ads,03/18/2025,CMP1561
U2710,Email Marketing,02-08-2025,CMP0191
U3851,YouTube Ads,02-10-2025,CMP0825
U0292,LinkedIn Ads,02/22/2025,CMP1443
U8329,Google Ads,10/15/2025,CMP0003
U5440,Instagram Ads,10/14/2025,CMP5585
U3634,Email Marketing,01-02-2025,CMP5953
U2690,YouTube Ads,09-10-2025,CMP4784
U6438,Google Ads,04/21/2025,CMP6705
U9648,Google Ads,03-05-2025,CMP5537
U9065,Facebook Ads,08-10-2025,CMP8261
U1697,Email Marketing,07/18/2025,CMP2904
U4483,LinkedIn Ads,07/23/2025,CMP8260
U4898,LinkedIn Ads,12/26/2025,CMP2264
U5658,Email Marketing,12-11-2025,CMP9070
U1891,YouTube Ads,06/30/2025,CMP2914
U0210,Email Marketing,09/25/2025,CMP6840
U4106,Facebook Ads,03/16/2025,CMP0928
U9206,Google Ads,04/25/2025,CMP8867
U6350,Email Marketing,08-02-2025,CMP8371
U3696,Email Marketing,11/21/2025,CMP0213
U4820,YouTube Ads,08/18/2025,CMP9641
U4573,Email Marketing,10-12-2025,CMP2848
U0655,Google Ads,03/20/2025,CMP4179
U5208,LinkedIn Ads,09/27/2025,CMP4935
U5725,Facebook Ads,04/24/2025,CMP8277
U0145,Facebook Ads,02/28/2025,CMP4810
U6323,Google Ads,05-12-2025,CMP3995
U0719,Instagram Ads,06-01-2025,CMP8469
U3454,Facebook Ads,12-10-2025,CMP1573
U1182,Google Ads,12/18/2025,CMP6951
U9144,Google Ads,02-06-2025,CMP0621
U0277,LinkedIn Ads,07/19/2025,CMP6679
U5861,Email Marketing,09/15/2025,CMP1037
U6474,Google Ads,12-05-2025,CMP9938
U2361,Email Marketing,06-02-2025,CMP2235
U0685,Google Ads,01-03-2025,CMP6114
U8398,Instagram Ads,03/14/2025,CMP1395
U0892,Facebook Ads,10-09-2025,CMP4141
U5421,Instagram Ads,07-02-2025,CMP1104
U5380,YouTube Ads,11-12-2025,CMP4672
U0080,YouTube Ads,06-10-2025,CMP9267
U7864,Instagram Ads,08/25/2025,CMP7146
U8825,Google Ads,04-11-2025,CMP9039
U9485,Google Ads,07/27/2025,CMP1236
U5994,YouTube Ads,07/20/2025,CMP4270
U5962,Facebook Ads,09/15/2025,CMP4768
U9271,YouTube Ads,12-04-2025,CMP2718
U6053,Google Ads,04/30/2025,CMP5879
U5310,LinkedIn Ads,02/22/2025,CMP5919
U6202,YouTube Ads,07-07-2025,CMP4315
U5654,Instagram Ads,09-07-2025,CMP8466
U4601,LinkedIn Ads,04/19/2025,CMP2277
U7890,Email Marketing,12-12-2025,CMP1939
U2640,Google Ads,03-10-2025,CMP6733
U6643,Google Ads,11-03-2025,CMP2407
U7892,Google Ads,03/29/2025,CMP4645
U5615,Facebook Ads,08/21/2025,CMP9547
U6878,Facebook Ads,03/18/2025,CMP6316
U7902,Google Ads,12-04-2025,CMP9828
U0712,Email Marketing,12/24/2025,CMP0020
U4171,LinkedIn Ads,09-02-2025,CMP7900
U0117,YouTube Ads,10/23/2025,CMP9803
U6981,Email Marketing,11/30/2025,CMP3366
U3338,YouTube Ads,07/31/2025,CMP6940
U9465,YouTube Ads,06/26/2025,CMP6066
U1643,Email Marketing,04/20/2025,CMP1952
U0087,YouTube Ads,02/16/2025,CMP9021
U0619,Google Ads,07/16/2025,CMP1445
U8490,Google Ads,05/27/2025,CMP9789
U5894,Email Marketing,05-03-2025,CMP8452
U8483,LinkedIn Ads,01-08-2025,CMP4521
U5694,Instagram Ads,05/22/2025,CMP9005
U1745,YouTube Ads,10/14/2025,CMP6619
U4099,YouTube Ads,12/22/2025,CMP1918
U0449,Instagram Ads,09-04-2025,CMP3986
U5786,Email Marketing,09/22/2025,CMP3611
U1246,Instagram Ads,10-11-2025,CMP4068
U3848,Instagram Ads,05-04-2025,CMP9400
U1286,YouTube Ads,12/13/2025,CMP4092
U9413,Google Ads,05/21/2025,CMP8872
U0888,Instagram Ads,09/27/2025,CMP8375
U8491,Instagram Ads,08/24/2025,CMP8233
U4255,LinkedIn Ads,04-06-2025,CMP3453
U6100,Instagram Ads,07-06-2025,CMP5622
U3864,YouTube Ads,10-12-2025,CMP2149
U8471,LinkedIn Ads,10-01-2025,CMP2451
U2677,YouTube Ads,01/31/2025,CMP4112
U9181,LinkedIn Ads,10/13/2025,CMP1578
U8822,Email Marketing,03/31/2025,CMP5753
U7599,Email Marketing,11/20/2025,CMP7988
U1297,LinkedIn Ads,03/24/2025,CMP5528
U7290,Email Marketing,07-05-2025,CMP4774
U4123,Facebook Ads,12/25/2025,CMP6783
U0882,Google Ads,01/14/2025,CMP1688
U5069,Instagram Ads,04/28/2025,CMP1703
U5847,Facebook Ads,06/16/2025,CMP2072
U8836,YouTube Ads,04-01-2025,CMP4464
U5689,LinkedIn Ads,09-04-2025,CMP9241
U0002,Instagram Ads,09/25/2025,CMP5045
U7053,Email Marketing,05/30/2025,CMP0137
U2676,Facebook Ads,11/27/2025,CMP6122
U4455,LinkedIn Ads,05/26/2025,CMP1298
U7461,Facebook Ads,11/13/2025,CMP6766
U0363,Instagram Ads,04-06-2025,CMP3077
U8087,Email Marketing,04/22/2025,CMP7184
U1315,Instagram Ads,03/16/2025,CMP8166
U6252,LinkedIn Ads,01-07-2025,CMP8900
U8539,Facebook Ads,12-07-2025,CMP7258
U8535,Instagram Ads,03-04-2025,CMP5114
U7114,Google Ads,06/16/2025,CMP5906
U7787,LinkedIn Ads,12/19/2025,CMP1961
U0984,Facebook Ads,01/31/2025,CMP4076
U5691,Facebook Ads,08/13/2025,CMP1760
U7169,Email Marketing,10/14/2025,CMP5869
U4511,Facebook Ads,11-03-2025,CMP9285
U8290,Instagram Ads,07/14/2025,CMP7363
U8831,YouTube Ads,07/18/2025,CMP5966
U5277,Facebook Ads,02/26/2025,CMP9036
U1618,Facebook Ads,01/17/2025,CMP2127
U9928,YouTube Ads,02-06-2025,CMP8027
U6815,Google Ads,07-08-2025,CMP8052
U3538,Google Ads,09/23/2025,CMP8668
U2932,Facebook Ads,10/13/2025,CMP6314
U1706,Instagram Ads,03/27/2025,CMP9447
U9013,YouTube Ads,06/16/2025,CMP2592
U9016,YouTube Ads,05-11-2025,CMP5300
U2214,Email Marketing,06-04-2025,CMP0004
U9115,Google Ads,10/20/2025,CMP5160
U4094,Facebook Ads,04/30/2025,CMP5828
U2833,YouTube Ads,09-07-2025,CMP6551
U6252,YouTube Ads,02-10-2025,CMP1563
U9869,LinkedIn Ads,01-06-2025,CMP7116
U5355,YouTube Ads,09/15/2025,CMP4994
U7077,LinkedIn Ads,05/29/2025,CMP6437
U1394,YouTube Ads,07/24/2025,CMP7797
U9361,LinkedIn Ads,04-11-2025,CMP2210
U9438,Facebook Ads,02/15/2025,CMP4035
U4995,Facebook Ads,03/28/2025,CMP5707
U3272,YouTube Ads,12/17/2025,CMP7246
U2420,Google Ads,05/28/2025,CMP1406
U3472,LinkedIn Ads,04/15/2025,CMP5000
U0302,YouTube Ads,07-12-2025,CMP7914
U4445,Facebook Ads,01/28/2025,CMP4186
U5902,Email Marketing,02/25/2025,CMP6368
U5169,Facebook Ads,09-06-2025,CMP6333
U8674,LinkedIn Ads,06-06-2025,CMP8203
U3870,Instagram Ads,09/14/2025,CMP0302
U6437,Google Ads,12-03-2025,CMP6344
U9919,LinkedIn Ads,06/18/2025,CMP3727
U5063,YouTube Ads,12/19/2025,CMP2271
U8733,Facebook Ads,03-02-2025,CMP7047
U4486,Instagram Ads,03/19/2025,CMP0484
U3784,YouTube Ads,12/18/2025,CMP4373
U6127,Facebook Ads,04-05-2025,CMP7809
U4422,Facebook Ads,07/31/2025,CMP3167
U5324,Google Ads,08/23/2025,CMP3352
U9729,Email Marketing,10-02-2025,CMP9961
U4026,YouTube Ads,09/23/2025,CMP0631
U3111,LinkedIn Ads,05/30/2025,CMP9138
U8471,LinkedIn Ads,03/14/2025,CMP4685
U8953,Google Ads,03-11-2025,CMP8203
U7450,LinkedIn Ads,02/16/2025,CMP2931
U7363,Email Marketing,11/21/2025,CMP2687
U2800,YouTube Ads,06/21/2025,CMP8384
U7312,Facebook Ads,05/28/2025,CMP2657
U8170,Google Ads,10-06-2025,CMP3324
