User_id,Channel,Interaction_date,Campaign_id,Interaction_Day,Interaction_Month
U3684,Instagram Ads,28-11-2025,CMP3825,Friday,11
U4729,Google Ads,13-08-2025,CMP1170,Wednesday,8
U9799,Instagram Ads,21-01-2025,CMP6595,Tuesday,1
U9620,Google Ads,,CMP0424,,
U2974,LinkedIn Ads,27-10-2025,CMP2871,Monday,10
U2635,Instagram Ads,18-06-2025,CMP7701,Wednesday,6
U5297,YouTube Ads,,CMP6562,,
U8168,LinkedIn Ads,17-11-2025,CMP8890,Monday,11
U1990,Facebook Ads,15-01-2025,CMP8999,Wednesday,1
U3682,Instagram Ads,28-02-2025,CMP2595,Friday,2
U7906,Email Marketing,30-08-2025,CMP8166,Saturday,8
U4527,YouTube Ads,,CMP3123,,
U8023,Instagram Ads,18-03-2025,CMP0043,Tuesday,3
U3913,YouTube Ads,20-10-2025,CMP9043,Monday,10
U6326,Instagram Ads,,CMP0716,,
U1634,YouTube Ads,27-09-2025,CMP2069,Saturday,9
U6513,Google Ads,29-11-2025,CMP2530,Saturday,11
U1122,LinkedIn Ads,,CMP8743,,
U7270,LinkedIn Ads,27-03-2025,CMP1481,Thursday,3
U4001,Google Ads,29-09-2025,CMP5315,Monday,9
U8154,Facebook Ads,26-10-2025,CMP2786,Sunday,10
U4713,Instagram Ads,13-12-2025,CMP7530,Saturday,12
U4098,YouTube Ads,22-08-2025,CMP5662,Friday,8
U4848,Google Ads,25-12-2025,CMP7917,Thursday,12
U4690,Instagram Ads,28-04-2025,CMP6485,Monday,4
U2241,YouTube Ads,18-11-2025,CMP3116,Tuesday,11
U4836,LinkedIn Ads,17-06-2025,CMP5062,Tuesday,6
U4211,Instagram Ads,,CMP8838,,
U6512,LinkedIn Ads,13-10-2025,CMP1887,Monday,10
U4296,YouTube Ads,27-10-2025,CMP4333,Monday,10
U5375,Email Marketing,,CMP1776,,
U0610,Email Marketing,,CMP7607,,
U8851,Facebook Ads,,CMP8808,,
U0537,Email Marketing,20-12-2025,CMP6798,Saturday,12
U5877,Instagram Ads,,CMP3869,,
U0350,Google Ads,26-01-2025,CMP7451,Sunday,1
U5384,Facebook Ads,17-03-2025,CMP9251,Monday,3
U0423,YouTube Ads,,CMP2130,,
U6898,Instagram Ads,27-09-2025,CMP9648,Saturday,9
U0711,YouTube Ads,,CMP5932,,
U8033,Google Ads,31-12-2025,CMP0511,Wednesday,12
U9591,Facebook Ads,,CMP9967,,
U1875,Instagram Ads,,CMP8693,,
U6533,LinkedIn Ads,,CMP3523,,
U1528,Instagram Ads,,CMP4177,,
U5401,YouTube Ads,,CMP2132,,
U1698,Email Marketing,23-10-2025,CMP6930,Thursday,10
U9407,Google Ads,26-04-2025,CMP3675,Saturday,4
U4382,Google Ads,15-01-2025,CMP9122,Wednesday,1
U6567,Instagram Ads,,CMP5568,,
U5586,Email Marketing,22-03-2025,CMP1504,Saturday,3
U0816,YouTube Ads,,CMP9300,,
U1865,YouTube Ads,26-06-2025,CMP7958,Thursday,6
U6476,LinkedIn Ads,,CMP9718,,
U8150,Facebook Ads,,CMP3461,,
U1181,YouTube Ads,23-07-2025,CMP3771,Wednesday,7
U6844,Instagram Ads,29-05-2025,CMP1276,Thursday,5
U7156,YouTube Ads,24-02-2025,CMP2816,Monday,2
U1252,LinkedIn Ads,19-09-2025,CMP1289,Friday,9
U4194,Instagram Ads,,CMP5725,,
U9495,Facebook Ads,18-08-2025,CMP1235,Monday,8
U7246,Email Marketing,20-11-2025,CMP5296,Thursday,11
U0933,YouTube Ads,,CMP5767,,
U9082,YouTube Ads,22-01-2025,CMP1480,Wednesday,1
U7382,Instagram Ads,22-02-2025,CMP3085,Saturday,2
U8587,Google Ads,25-09-2025,CMP2828,Thursday,9
U5483,LinkedIn Ads,,CMP4635,,
U2318,Instagram Ads,29-06-2025,CMP4656,Sunday,6
U5382,YouTube Ads,,CMP2113,,
U5941,Google Ads,,CMP8625,,
U1658,Facebook Ads,17-09-2025,CMP7968,Wednesday,9
U2659,Email Marketing,,CMP0619,,
U3892,Email Marketing,16-08-2025,CMP2713,Saturday,8
U3179,Facebook Ads,,CMP7356,,
U3272,LinkedIn Ads,,CMP4617,,
U2043,Instagram Ads,26-05-2025,CMP7874,Monday,5
U7392,Facebook Ads,28-06-2025,CMP8411,Saturday,6
U5222,Facebook Ads,20-02-2025,CMP6127,Thursday,2
U2274,Google Ads,28-12-2025,CMP2255,Sunday,12
U9976,Google Ads,28-09-2025,CMP1299,Sunday,9
U7490,Google Ads,,CMP4935,,
U7033,Google Ads,,CMP8783,,
U1109,Email Marketing,27-09-2025,CMP3069,Saturday,9
U6117,Google Ads,,CMP9080,,
U2186,Facebook Ads,23-01-2025,CMP5650,Thursday,1
U2210,Email Marketing,,CMP2869,,
U5081,Facebook Ads,21-09-2025,CMP4808,Sunday,9
U5439,Email Marketing,20-05-2025,CMP0600,Tuesday,5
U8130,Email Marketing,21-12-2025,CMP6554,Sunday,12
U2957,Google Ads,,CMP4370,,
U7273,Instagram Ads,29-06-2025,CMP4844,Sunday,6
U1230,YouTube Ads,,CMP5777,,
U0571,Google Ads,,CMP2622,,
U7372,LinkedIn Ads,,CMP5934,,
U4090,YouTube Ads,28-02-2025,CMP2256,Friday,2
U7312,YouTube Ads,20-04-2025,CMP6341,Sunday,4
U7293,Google Ads,14-02-2025,CMP3280,Friday,2
U2581,Email Marketing,31-12-2025,CMP5693,Wednesday,12
U3879,YouTube Ads,,CMP5923,,
U5068,YouTube Ads,23-07-2025,CMP7658,Wednesday,7
U1216,YouTube Ads,19-08-2025,CMP6709,Tuesday,8
U7089,Email Marketing,15-09-2025,CMP9033,Monday,9
U5670,Facebook Ads,23-09-2025,CMP4983,Tuesday,9
U1531,Instagram Ads,15-09-2025,CMP9025,Monday,9
U0675,Facebook Ads,15-01-2025,CMP2527,Wednesday,1
U0497,Instagram Ads,,CMP9450,,
U4874,LinkedIn Ads,21-08-2025,CMP4950,Thursday,8
U5122,LinkedIn Ads,13-06-2025,CMP6810,Friday,6
U7643,Instagram Ads,,CMP2143,,
U5365,Instagram Ads,23-10-2025,CMP0830,Thursday,10
U0380,YouTube Ads,16-02-2025,CMP8164,Sunday,2
U9790,YouTube Ads,,CMP3525,,
U6607,LinkedIn Ads,,CMP1762,,
U7379,Instagram Ads,,CMP3190,,
U9140,Facebook Ads,,CMP1947,,
U7762,Google Ads,23-09-2025,CMP8194,Tuesday,9
U4903,Instagram Ads,31-10-2025,CMP2291,Friday,10
U6036,Email Marketing,19-06-2025,CMP8026,Thursday,6
U9478,Email Marketing,23-10-2025,CMP5041,Thursday,10
U3969,YouTube Ads,17-01-2025,CMP2794,Friday,1
U6724,Instagram Ads,14-09-2025,CMP7226,Sunday,9
U7838,Email Marketing,27-09-2025,CMP1021,Saturday,9
U4332,Instagram Ads,,CMP8735,,
U3397,Instagram Ads,20-12-2025,CMP9144,Saturday,12
U8900,Email Marketing,14-07-2025,CMP9184,Monday,7
U5675,Instagram Ads,15-08-2025,CMP2400,Friday,8
U1790,YouTube Ads,,CMP3311,,
U5412,Facebook Ads,30-08-2025,CMP8701,Saturday,8
U7823,Facebook Ads,30-11-2025,CMP9017,Sunday,11
U3805,Email Marketing,,CMP4677,,
U8117,LinkedIn Ads,,CMP2869,,
U4663,Google Ads,21-08-2025,CMP0614,Thursday,8
U5418,YouTube Ads,25-03-2025,CMP2199,Tuesday,3
U3165,Google Ads,31-03-2025,CMP3051,Monday,3
U3028,YouTube Ads,13-03-2025,CMP7008,Thursday,3
U4948,LinkedIn Ads,26-10-2025,CMP4273,Sunday,10
U5027,Email Marketing,23-03-2025,CMP5891,Sunday,3
U6022,Email Marketing,,CMP5096,,
U7715,LinkedIn Ads,,CMP2510,,
U1280,Google Ads,16-10-2025,CMP9762,Thursday,10
U8526,Facebook Ads,15-08-2025,CMP8282,Friday,8
U2162,Google Ads,20-09-2025,CMP8009,Saturday,9
U3571,Email Marketing,24-10-2025,CMP7576,Friday,10
U0520,YouTube Ads,27-05-2025,CMP1045,Tuesday,5
U6155,Instagram Ads,,CMP6888,,
U3649,Google Ads,,CMP5698,,
U7547,LinkedIn Ads,27-06-2025,CMP8921,Friday,6
U3944,Google Ads,16-04-2025,CMP1849,Wednesday,4
U6591,Email Marketing,13-08-2025,CMP9795,Wednesday,8
U5225,Facebook Ads,23-10-2025,CMP0925,Thursday,10
U6776,Instagram Ads,,CMP3882,,
U5643,Email Marketing,26-11-2025,CMP2870,Wednesday,11
U7759,LinkedIn Ads,,CMP6822,,
U8684,Google Ads,,CMP7587,,
U0845,LinkedIn Ads,18-05-2025,CMP1296,Sunday,5
U7855,Facebook Ads,17-04-2025,CMP1193,Thursday,4
U3975,Facebook Ads,23-12-2025,CMP3471,Tuesday,12
U5887,YouTube Ads,,CMP3922,,
U3329,Google Ads,,CMP7636,,
U9489,Email Marketing,,CMP3626,,
U5531,YouTube Ads,,CMP6224,,
U8001,Facebook Ads,,CMP7551,,
U2253,Google Ads,19-11-2025,CMP0555,Wednesday,11
U7917,YouTube Ads,,CMP3584,,
U4698,Google Ads,,CMP6740,,
U8626,Google Ads,,CMP2938,,
U3701,LinkedIn Ads,,CMP6113,,
U0920,Google Ads,23-11-2025,CMP0520,Sunday,11
U3765,Email Marketing,19-04-2025,CMP7110,Saturday,4
U0540,Google Ads,,CMP0763,,
U3940,Email Marketing,18-10-2025,CMP2363,Saturday,10
U8205,Email Marketing,27-06-2025,CMP6289,Friday,6
U6500,Instagram Ads,17-06-2025,CMP1246,Tuesday,6
U3044,Facebook Ads,15-12-2025,CMP8039,Monday,12
U6226,Facebook Ads,31-12-2025,CMP4840,Wednesday,12
U5897,Google Ads,19-05-2025,CMP5910,Monday,5
U1469,YouTube Ads,,CMP7354,,
U9168,LinkedIn Ads,,CMP5316,,
U1037,Facebook Ads,27-03-2025,CMP2778,Thursday,3
U9729,Instagram Ads,,CMP1261,,
U7213,LinkedIn Ads,21-06-2025,CMP0111,Saturday,6
U3291,Facebook Ads,,CMP9739,,
U5340,Instagram Ads,,CMP5229,,
U9013,YouTube Ads,14-01-2025,CMP1866,Tuesday,1
U8181,Instagram Ads,13-03-2025,CMP7184,Thursday,3
U7852,Email Marketing,26-10-2025,CMP2526,Sunday,10
U9730,YouTube Ads,23-11-2025,CMP6854,Sunday,11
U6548,Facebook Ads,19-06-2025,CMP5817,Thursday,6
U9425,YouTube Ads,24-04-2025,CMP3638,Thursday,4
U7910,Email Marketing,23-02-2025,CMP9644,Sunday,2
U3390,Email Marketing,24-09-2025,CMP1902,Wednesday,9
U1886,Instagram Ads,,CMP7413,,
U5423,Email Marketing,14-10-2025,CMP2693,Tuesday,10
U3233,Facebook Ads,19-08-2025,CMP3023,Tuesday,8
U9460,Facebook Ads,22-02-2025,CMP3520,Saturday,2
U5135,Google Ads,,CMP7497,,
U4874,Instagram Ads,,CMP5701,,
U2317,Facebook Ads,19-09-2025,CMP1932,Friday,9
U2839,LinkedIn Ads,,CMP6287,,
U7940,LinkedIn Ads,,CMP5155,,
U7273,Email Marketing,,CMP8282,,
U2756,Instagram Ads,23-08-2025,CMP3614,Saturday,8
U6011,YouTube Ads,,CMP9007,,
U0529,LinkedIn Ads,19-08-2025,CMP3581,Tuesday,8
U5745,Google Ads,30-12-2025,CMP7194,Tuesday,12
U4606,Facebook Ads,,CMP2282,,
U1561,Instagram Ads,,CMP4795,,
U4056,Email Marketing,13-12-2025,CMP2079,Saturday,12
U1526,Email Marketing,26-07-2025,CMP4403,Saturday,7
U7512,LinkedIn Ads,22-11-2025,CMP6047,Saturday,11
U4400,LinkedIn Ads,15-06-2025,CMP8757,Sunday,6
U7530,LinkedIn Ads,,CMP9276,,
U4946,Google Ads,23-03-2025,CMP7480,Sunday,3
U5006,Instagram Ads,25-12-2025,CMP1351,Thursday,12
U3706,Google Ads,23-09-2025,CMP1560,Tuesday,9
U3752,Google Ads,16-07-2025,CMP5630,Wednesday,7
U2341,Instagram Ads,,CMP5134,,
U6746,LinkedIn Ads,,CMP2689,,
U7036,Facebook Ads,,CMP1647,,
U0440,YouTube Ads,,CMP4066,,
U8109,Email Marketing,17-07-2025,CMP3091,Thursday,7
U6338,YouTube Ads,19-10-2025,CMP1164,Sunday,10
U3535,Google Ads,21-01-2025,CMP7718,Tuesday,1
U8809,LinkedIn Ads,,CMP8210,,
U1084,Facebook Ads,,CMP8378,,
U7429,Google Ads,,CMP3910,,
U8134,Google Ads,27-06-2025,CMP2878,Friday,6
U1935,Facebook Ads,16-01-2025,CMP4248,Thursday,1
U7458,Instagram Ads,19-09-2025,CMP1047,Friday,9
U1890,Instagram Ads,27-04-2025,CMP2735,Sunday,4
U2933,Facebook Ads,19-01-2025,CMP0202,Sunday,1
U4445,Facebook Ads,,CMP6871,,
U1130,Facebook Ads,27-08-2025,CMP0863,Wednesday,8
U9238,YouTube Ads,,CMP1416,,
U2467,LinkedIn Ads,,CMP9695,,
U1704,Instagram Ads,16-04-2025,CMP0158,Wednesday,4
U8516,Facebook Ads,31-07-2025,CMP0982,Thursday,7
U1227,YouTube Ads,31-10-2025,CMP1392,Friday,10
U5346,Facebook Ads,,CMP2142,,
U7366,Facebook Ads,27-08-2025,CMP3322,Wednesday,8
U1482,LinkedIn Ads,22-03-2025,CMP3402,Saturday,3
U4067,Google Ads,,CMP9885,,
U9014,Facebook Ads,,CMP4263,,
U2142,Google Ads,,CMP2291,,
U0358,YouTube Ads,,CMP1377,,
U0830,Google Ads,28-03-2025,CMP2111,Friday,3
U3067,Google Ads,21-05-2025,CMP8129,Wednesday,5
U7849,Email Marketing,,CMP4027,,
U0320,Email Marketing,15-07-2025,CMP3268,Tuesday,7
U2947,Instagram Ads,14-01-2025,CMP7941,Tuesday,1
U3814,Google Ads,23-03-2025,CMP4603,Sunday,3
U9433,Email Marketing,18-07-2025,CMP8744,Friday,7
U5879,Facebook Ads,30-10-2025,CMP2847,Thursday,10
U8883,YouTube Ads,,CMP9301,,
U5436,YouTube Ads,,CMP3812,,
U2321,Instagram Ads,26-02-2025,CMP2908,Wednesday,2
U4945,Email Marketing,15-06-2025,CMP6121,Sunday,6
U5847,Email Marketing,25-04-2025,CMP7983,Friday,4
U9386,Email Marketing,20-07-2025,CMP5027,Sunday,7
U5426,Email Marketing,,CMP3620,,
U3436,Email Marketing,,CMP1454,,
U2726,Email Marketing,31-07-2025,CMP1771,Thursday,7
U3696,Google Ads,25-03-2025,CMP6150,Tuesday,3
U5601,Google Ads,29-03-2025,CMP4832,Saturday,3
U0508,Instagram Ads,,CMP1526,,
U6706,Google Ads,23-12-2025,CMP2574,Tuesday,12
U6438,Email Marketing,20-10-2025,CMP4347,Monday,10
U9834,Google Ads,,CMP5912,,
U7716,Google Ads,,CMP4782,,
U0732,Facebook Ads,15-05-2025,CMP6350,Thursday,5
U1585,YouTube Ads,13-02-2025,CMP4401,Thursday,2
U6859,Facebook Ads,,CMP9663,,
U8227,LinkedIn Ads,20-10-2025,CMP3861,Monday,10
U3472,Google Ads,,CMP2416,,
U5239,Facebook Ads,,CMP7134,,
U9627,Instagram Ads,25-09-2025,CMP5344,Thursday,9
U1731,YouTube Ads,16-10-2025,CMP9284,Thursday,10
U9978,LinkedIn Ads,31-08-2025,CMP5634,Sunday,8
U3893,Email Marketing,26-01-2025,CMP9973,Sunday,1
U1610,Google Ads,27-04-2025,CMP6103,Sunday,4
U3080,Instagram Ads,15-08-2025,CMP5258,Friday,8
U1076,YouTube Ads,,CMP7938,,
U0945,YouTube Ads,,CMP8590,,
U2030,Instagram Ads,15-12-2025,CMP3263,Monday,12
U2680,Facebook Ads,13-05-2025,CMP7309,Tuesday,5
U3627,LinkedIn Ads,28-11-2025,CMP0450,Friday,11
U0146,YouTube Ads,31-08-2025,CMP6710,Sunday,8
U4512,Facebook Ads,,CMP0139,,
U8381,LinkedIn Ads,,CMP3576,,
U4530,Instagram Ads,24-11-2025,CMP4632,Monday,11
U6621,Facebook Ads,,CMP4896,,
U9553,Instagram Ads,29-12-2025,CMP8149,Monday,12
U5874,Email Marketing,17-09-2025,CMP3644,Wednesday,9
U9160,Facebook Ads,,CMP9147,,
U5429,Instagram Ads,,CMP3642,,
U1167,LinkedIn Ads,30-08-2025,CMP1930,Saturday,8
U2251,YouTube Ads,13-04-2025,CMP6254,Sunday,4
U5450,Facebook Ads,20-11-2025,CMP7497,Thursday,11
U8022,Instagram Ads,15-02-2025,CMP7407,Saturday,2
U3268,LinkedIn Ads,,CMP6610,,
U3708,Facebook Ads,22-12-2025,CMP8701,Monday,12
U4886,YouTube Ads,29-05-2025,CMP8247,Thursday,5
U5886,LinkedIn Ads,,CMP5536,,
U0360,Facebook Ads,29-10-2025,CMP0314,Wednesday,10
U0797,LinkedIn Ads,,CMP0613,,
U2025,Google Ads,,CMP0324,,
U4424,Instagram Ads,15-11-2025,CMP0153,Saturday,11
U8155,YouTube Ads,,CMP1719,,
U8981,Facebook Ads,,CMP8572,,
U8096,Google Ads,18-03-2025,CMP3843,Tuesday,3
U4328,Instagram Ads,26-08-2025,CMP1660,Tuesday,8
U1557,Instagram Ads,24-01-2025,CMP0647,Friday,1
U1523,Instagram Ads,,CMP2794,,
U2733,Instagram Ads,27-02-2025,CMP7480,Thursday,2
U7179,Google Ads,,CMP2612,,
U1851,Email Marketing,30-07-2025,CMP0473,Wednesday,7
U9258,Google Ads,25-04-2025,CMP5149,Friday,4
U6306,LinkedIn Ads,18-03-2025,CMP1561,Tuesday,3
U2710,Email Marketing,,CMP0191,,
U3851,YouTube Ads,,CMP0825,,
U0292,LinkedIn Ads,22-02-2025,CMP1443,Saturday,2
U8329,Google Ads,15-10-2025,CMP0003,Wednesday,10
U5440,Instagram Ads,14-10-2025,CMP5585,Tuesday,10
U3634,Email Marketing,,CMP5953,,
U2690,YouTube Ads,,CMP4784,,
U6438,Google Ads,21-04-2025,CMP6705,Monday,4
U9648,Google Ads,,CMP5537,,
U9065,Facebook Ads,,CMP8261,,
U1697,Email Marketing,18-07-2025,CMP2904,Friday,7
U4483,LinkedIn Ads,23-07-2025,CMP8260,Wednesday,7
U4898,LinkedIn Ads,26-12-2025,CMP2264,Friday,12
U5658,Email Marketing,,CMP9070,,
U1891,YouTube Ads,30-06-2025,CMP2914,Monday,6
U0210,Email Marketing,25-09-2025,CMP6840,Thursday,9
U4106,Facebook Ads,16-03-2025,CMP0928,Sunday,3
U9206,Google Ads,25-04-2025,CMP8867,Friday,4
U6350,Email Marketing,,CMP8371,,
U3696,Email Marketing,21-11-2025,CMP0213,Friday,11
U4820,YouTube Ads,18-08-2025,CMP9641,Monday,8
U4573,Email Marketing,,CMP2848,,
U0655,Google Ads,20-03-2025,CMP4179,Thursday,3
U5208,LinkedIn Ads,27-09-2025,CMP4935,Saturday,9
U5725,Facebook Ads,24-04-2025,CMP8277,Thursday,4
U0145,Facebook Ads,28-02-2025,CMP4810,Friday,2
U6323,Google Ads,,CMP3995,,
U0719,Instagram Ads,,CMP8469,,
U3454,Facebook Ads,,CMP1573,,
U1182,Google Ads,18-12-2025,CMP6951,Thursday,12
U9144,Google Ads,,CMP0621,,
U0277,LinkedIn Ads,19-07-2025,CMP6679,Saturday,7
U5861,Email Marketing,15-09-2025,CMP1037,Monday,9
U6474,Google Ads,,CMP9938,,
U2361,Email Marketing,,CMP2235,,
U0685,Google Ads,,CMP6114,,
U8398,Instagram Ads,14-03-2025,CMP1395,Friday,3
U0892,Facebook Ads,,CMP4141,,
U5421,Instagram Ads,,CMP1104,,
U5380,YouTube Ads,,CMP4672,,
U0080,YouTube Ads,,CMP9267,,
U7864,Instagram Ads,25-08-2025,CMP7146,Monday,8
U8825,Google Ads,,CMP9039,,
U9485,Google Ads,27-07-2025,CMP1236,Sunday,7
U5994,YouTube Ads,20-07-2025,CMP4270,Sunday,7
U5962,Facebook Ads,15-09-2025,CMP4768,Monday,9
U9271,YouTube Ads,,CMP2718,,
U6053,Google Ads,30-04-2025,CMP5879,Wednesday,4
U5310,LinkedIn Ads,22-02-2025,CMP5919,Saturday,2
U6202,YouTube Ads,,CMP4315,,
U5654,Instagram Ads,,CMP8466,,
U4601,LinkedIn Ads,19-04-2025,CMP2277,Saturday,4
U7890,Email Marketing,,CMP1939,,
U2640,Google Ads,,CMP6733,,
U6643,Google Ads,,CMP2407,,
U7892,Google Ads,29-03-2025,CMP4645,Saturday,3
U5615,Facebook Ads,21-08-2025,CMP9547,Thursday,8
U6878,Facebook Ads,18-03-2025,CMP6316,Tuesday,3
U7902,Google Ads,,CMP9828,,
U0712,Email Marketing,24-12-2025,CMP0020,Wednesday,12
U4171,LinkedIn Ads,,CMP7900,,
U0117,YouTube Ads,23-10-2025,CMP9803,Thursday,10
U6981,Email Marketing,30-11-2025,CMP3366,Sunday,11
U3338,YouTube Ads,31-07-2025,CMP6940,Thursday,7
U9465,YouTube Ads,26-06-2025,CMP6066,Thursday,6
U1643,Email Marketing,20-04-2025,CMP1952,Sunday,4
U0087,YouTube Ads,16-02-2025,CMP9021,Sunday,2
U0619,Google Ads,16-07-2025,CMP1445,Wednesday,7
U8490,Google Ads,27-05-2025,CMP9789,Tuesday,5
U5894,Email Marketing,,CMP8452,,
U8483,LinkedIn Ads,,CMP4521,,
U5694,Instagram Ads,22-05-2025,CMP9005,Thursday,5
U1745,YouTube Ads,14-10-2025,CMP6619,Tuesday,10
U4099,YouTube Ads,22-12-2025,CMP1918,Monday,12
U0449,Instagram Ads,,CMP3986,,
U5786,Email Marketing,22-09-2025,CMP3611,Monday,9
U1246,Instagram Ads,,CMP4068,,
U3848,Instagram Ads,,CMP9400,,
U1286,YouTube Ads,13-12-2025,CMP4092,Saturday,12
U9413,Google Ads,21-05-2025,CMP8872,Wednesday,5
U0888,Instagram Ads,27-09-2025,CMP8375,Saturday,9
U8491,Instagram Ads,24-08-2025,CMP8233,Sunday,8
U4255,LinkedIn Ads,,CMP3453,,
U6100,Instagram Ads,,CMP5622,,
U3864,YouTube Ads,,CMP2149,,
U8471,LinkedIn Ads,,CMP2451,,
U2677,YouTube Ads,31-01-2025,CMP4112,Friday,1
U9181,LinkedIn Ads,13-10-2025,CMP1578,Monday,10
U8822,Email Marketing,31-03-2025,CMP5753,Monday,3
U7599,Email Marketing,20-11-2025,CMP7988,Thursday,11
U1297,LinkedIn Ads,24-03-2025,CMP5528,Monday,3
U7290,Email Marketing,,CMP4774,,
U4123,Facebook Ads,25-12-2025,CMP6783,Thursday,12
U0882,Google Ads,14-01-2025,CMP1688,Tuesday,1
U5069,Instagram Ads,28-04-2025,CMP1703,Monday,4
U5847,Facebook Ads,16-06-2025,CMP2072,Monday,6
U8836,YouTube Ads,,CMP4464,,
U5689,LinkedIn Ads,,CMP9241,,
U0002,Instagram Ads,25-09-2025,CMP5045,Thursday,9
U7053,Email Marketing,30-05-2025,CMP0137,Friday,5
U2676,Facebook Ads,27-11-2025,CMP6122,Thursday,11
U4455,LinkedIn Ads,26-05-2025,CMP1298,Monday,5
U7461,Facebook Ads,13-11-2025,CMP6766,Thursday,11
U0363,Instagram Ads,,CMP3077,,
U8087,Email Marketing,22-04-2025,CMP7184,Tuesday,4
U1315,Instagram Ads,16-03-2025,CMP8166,Sunday,3
U6252,LinkedIn Ads,,CMP8900,,
U8539,Facebook Ads,,CMP7258,,
U8535,Instagram Ads,,CMP5114,,
