User_id,Channel,Interaction_date,Campaign_id,Interaction_Day,Interaction_Month,Interaction_Quarter,Is_Weekend
U0537,Email Marketing,2025-12-20,CMP6798,Saturday,December,4.0,1
U5877,Instagram Ads,,CMP3869,,,,0
U0350,Google Ads,2025-01-26,CMP7451,Sunday,January,1.0,1
U5384,Facebook Ads,2025-03-17,CMP9251,Monday,March,1.0,0
U0423,YouTube Ads,,CMP2130,,,,0
U6898,Instagram Ads,2025-09-27,CMP9648,Saturday,September,3.0,1
U0711,YouTube Ads,,CMP5932,,,,0
U8033,Google Ads,2025-12-31,CMP0511,Wednesday,December,4.0,0
U9591,Facebook Ads,,CMP9967,,,,0
U1875,Instagram Ads,,CMP8693,,,,0
U6533,LinkedIn Ads,,CMP3523,,,,0
U1528,Instagram Ads,,CMP4177,,,,0
U5401,YouTube Ads,,CMP2132,,,,0
U1698,Email Marketing,2025-10-23,CMP6930,Thursday,October,4.0,0
U9407,Google Ads,2025-04-26,CMP3675,Saturday,April,2.0,1
U4382,Google Ads,2025-01-15,CMP9122,Wednesday,January,1.0,0
U6567,Instagram Ads,,CMP5568,,,,0
U5586,Email Marketing,2025-03-22,CMP1504,Saturday,March,1.0,1
U0816,YouTube Ads,,CMP9300,,,,0
U1865,YouTube Ads,2025-06-26,CMP7958,Thursday,June,2.0,0
U6476,LinkedIn Ads,,CMP9718,,,,0
U8150,Facebook Ads,,CMP3461,,,,0
U1181,YouTube Ads,2025-07-23,CMP3771,Wednesday,July,3.0,0
U6844,Instagram Ads,2025-05-29,CMP1276,Thursday,May,2.0,0
U7156,YouTube Ads,2025-02-24,CMP2816,Monday,February,1.0,0
U1252,LinkedIn Ads,2025-09-19,CMP1289,Friday,September,3.0,0
U4194,Instagram Ads,,CMP5725,,,,0
U9495,Facebook Ads,2025-08-18,CMP1235,Monday,August,3.0,0
U7246,Email Marketing,2025-11-20,CMP5296,Thursday,November,4.0,0
U0933,YouTube Ads,,CMP5767,,,,0
U9082,YouTube Ads,2025-01-22,CMP1480,Wednesday,January,1.0,0
U7382,Instagram Ads,2025-02-22,CMP3085,Saturday,February,1.0,1
U8587,Google Ads,2025-09-25,CMP2828,Thursday,September,3.0,0
U5483,LinkedIn Ads,,CMP4635,,,,0
U2318,Instagram Ads,2025-06-29,CMP4656,Sunday,June,2.0,1
U5382,YouTube Ads,,CMP2113,,,,0
U5941,Google Ads,,CMP8625,,,,0
U1658,Facebook Ads,2025-09-17,CMP7968,Wednesday,September,3.0,0
U2659,Email Marketing,,CMP0619,,,,0
U3892,Email Marketing,2025-08-16,CMP2713,Saturday,August,3.0,1
U3179,Facebook Ads,,CMP7356,,,,0
U3272,LinkedIn Ads,,CMP4617,,,,0
U2043,Instagram Ads,2025-05-26,CMP7874,Monday,May,2.0,0
U7392,Facebook Ads,2025-06-28,CMP8411,Saturday,June,2.0,1
U5222,Facebook Ads,2025-02-20,CMP6127,Thursday,February,1.0,0
U2274,Google Ads,2025-12-28,CMP2255,Sunday,December,4.0,1
U9976,Google Ads,2025-09-28,CMP1299,Sunday,September,3.0,1
U7490,Google Ads,,CMP4935,,,,0
U7033,Google Ads,,CMP8783,,,,0
U1109,Email Marketing,2025-09-27,CMP3069,Saturday,September,3.0,1
U6117,Google Ads,,CMP9080,,,,0
U2186,Facebook Ads,2025-01-23,CMP5650,Thursday,January,1.0,0
U2210,Email Marketing,,CMP2869,,,,0
U5081,Facebook Ads,2025-09-21,CMP4808,Sunday,September,3.0,1
U5439,Email Marketing,2025-05-20,CMP0600,Tuesday,May,2.0,0
U8130,Email Marketing,2025-12-21,CMP6554,Sunday,December,4.0,1
U2957,Google Ads,,CMP4370,,,,0
U7273,Instagram Ads,2025-06-29,CMP4844,Sunday,June,2.0,1
U1230,YouTube Ads,,CMP5777,,,,0
U0571,Google Ads,,CMP2622,,,,0
U7372,LinkedIn Ads,,CMP5934,,,,0
U4090,YouTube Ads,2025-02-28,CMP2256,Friday,February,1.0,0
U7312,YouTube Ads,2025-04-20,CMP6341,Sunday,April,2.0,1
U7293,Google Ads,2025-02-14,CMP3280,Friday,February,1.0,0
U2581,Email Marketing,2025-12-31,CMP5693,Wednesday,December,4.0,0
U3879,YouTube Ads,,CMP5923,,,,0
U5068,YouTube Ads,2025-07-23,CMP7658,Wednesday,July,3.0,0
U1216,YouTube Ads,2025-08-19,CMP6709,Tuesday,August,3.0,0
U7089,Email Marketing,2025-09-15,CMP9033,Monday,September,3.0,0
U5670,Facebook Ads,2025-09-23,CMP4983,Tuesday,September,3.0,0
U1531,Instagram Ads,2025-09-15,CMP9025,Monday,September,3.0,0
U0675,Facebook Ads,2025-01-15,CMP2527,Wednesday,January,1.0,0
U0497,Instagram Ads,,CMP9450,,,,0
U4874,LinkedIn Ads,2025-08-21,CMP4950,Thursday,August,3.0,0
U5122,LinkedIn Ads,2025-06-13,CMP6810,Friday,June,2.0,0
U7643,Instagram Ads,,CMP2143,,,,0
U5365,Instagram Ads,2025-10-23,CMP0830,Thursday,October,4.0,0
U0380,YouTube Ads,2025-02-16,CMP8164,Sunday,February,1.0,1
U9790,YouTube Ads,,CMP3525,,,,0
U6607,LinkedIn Ads,,CMP1762,,,,0
U7379,Instagram Ads,,CMP3190,,,,0
U9140,Facebook Ads,,CMP1947,,,,0
U7762,Google Ads,2025-09-23,CMP8194,Tuesday,September,3.0,0
U4903,Instagram Ads,2025-10-31,CMP2291,Friday,October,4.0,0
U6036,Email Marketing,2025-06-19,CMP8026,Thursday,June,2.0,0
U9478,Email Marketing,2025-10-23,CMP5041,Thursday,October,4.0,0
U3969,YouTube Ads,2025-01-17,CMP2794,Friday,January,1.0,0
U6724,Instagram Ads,2025-09-14,CMP7226,Sunday,September,3.0,1
U7838,Email Marketing,2025-09-27,CMP1021,Saturday,September,3.0,1
U4332,Instagram Ads,,CMP8735,,,,0
U3397,Instagram Ads,2025-12-20,CMP9144,Saturday,December,4.0,1
U8900,Email Marketing,2025-07-14,CMP9184,Monday,July,3.0,0
U5675,Instagram Ads,2025-08-15,CMP2400,Friday,August,3.0,0
U1790,YouTube Ads,,CMP3311,,,,0
U5412,Facebook Ads,2025-08-30,CMP8701,Saturday,August,3.0,1
U7823,Facebook Ads,2025-11-30,CMP9017,Sunday,November,4.0,1
U3805,Email Marketing,,CMP4677,,,,0
U8117,LinkedIn Ads,,CMP2869,,,,0
U4663,Google Ads,2025-08-21,CMP0614,Thursday,August,3.0,0
U5418,YouTube Ads,2025-03-25,CMP2199,Tuesday,March,1.0,0
U3165,Google Ads,2025-03-31,CMP3051,Monday,March,1.0,0
U3028,YouTube Ads,2025-03-13,CMP7008,Thursday,March,1.0,0
U4948,LinkedIn Ads,2025-10-26,CMP4273,Sunday,October,4.0,1
U5027,Email Marketing,2025-03-23,CMP5891,Sunday,March,1.0,1
U6022,Email Marketing,,CMP5096,,,,0
U7715,LinkedIn Ads,,CMP2510,,,,0
U1280,Google Ads,2025-10-16,CMP9762,Thursday,October,4.0,0
U8526,Facebook Ads,2025-08-15,CMP8282,Friday,August,3.0,0
U2162,Google Ads,2025-09-20,CMP8009,Saturday,September,3.0,1
U3571,Email Marketing,2025-10-24,CMP7576,Friday,October,4.0,0
U0520,YouTube Ads,2025-05-27,CMP1045,Tuesday,May,2.0,0
U6155,Instagram Ads,,CMP6888,,,,0
U3649,Google Ads,,CMP5698,,,,0
U7547,LinkedIn Ads,2025-06-27,CMP8921,Friday,June,2.0,0
U3944,Google Ads,2025-04-16,CMP1849,Wednesday,April,2.0,0
U6591,Email Marketing,2025-08-13,CMP9795,Wednesday,August,3.0,0
U5225,Facebook Ads,2025-10-23,CMP0925,Thursday,October,4.0,0
U6776,Instagram Ads,,CMP3882,,,,0
U5643,Email Marketing,2025-11-26,CMP2870,Wednesday,November,4.0,0
U7759,LinkedIn Ads,,CMP6822,,,,0
U8684,Google Ads,,CMP7587,,,,0
U0845,LinkedIn Ads,2025-05-18,CMP1296,Sunday,May,2.0,1
U7855,Facebook Ads,2025-04-17,CMP1193,Thursday,April,2.0,0
U3975,Facebook Ads,2025-12-23,CMP3471,Tuesday,December,4.0,0
U5887,YouTube Ads,,CMP3922,,,,0
U3329,Google Ads,,CMP7636,,,,0
U9489,Email Marketing,,CMP3626,,,,0
U5531,YouTube Ads,,CMP6224,,,,0
U8001,Facebook Ads,,CMP7551,,,,0
U2253,Google Ads,2025-11-19,CMP0555,Wednesday,November,4.0,0
U7917,YouTube Ads,,CMP3584,,,,0
U4698,Google Ads,,CMP6740,,,,0
U8626,Google Ads,,CMP2938,,,,0
U3701,LinkedIn Ads,,CMP6113,,,,0
U0920,Google Ads,2025-11-23,CMP0520,Sunday,November,4.0,1
U3765,Email Marketing,2025-04-19,CMP7110,Saturday,April,2.0,1
U0540,Google Ads,,CMP0763,,,,0
U3940,Email Marketing,2025-10-18,CMP2363,Saturday,October,4.0,1
U8205,Email Marketing,2025-06-27,CMP6289,Friday,June,2.0,0
U6500,Instagram Ads,2025-06-17,CMP1246,Tuesday,June,2.0,0
U3044,Facebook Ads,2025-12-15,CMP8039,Monday,December,4.0,0
U6226,Facebook Ads,2025-12-31,CMP4840,Wednesday,December,4.0,0
U5897,Google Ads,2025-05-19,CMP5910,Monday,May,2.0,0
U1469,YouTube Ads,,CMP7354,,,,0
U9168,LinkedIn Ads,,CMP5316,,,,0
U1037,Facebook Ads,2025-03-27,CMP2778,Thursday,March,1.0,0
U9729,Instagram Ads,,CMP1261,,,,0
U7213,LinkedIn Ads,2025-06-21,CMP0111,Saturday,June,2.0,1
U3291,Facebook Ads,,CMP9739,,,,0
U5340,Instagram Ads,,CMP5229,,,,0
U9013,YouTube Ads,2025-01-14,CMP1866,Tuesday,January,1.0,0
U8181,Instagram Ads,2025-03-13,CMP7184,Thursday,March,1.0,0
U7852,Email Marketing,2025-10-26,CMP2526,Sunday,October,4.0,1
U9730,YouTube Ads,2025-11-23,CMP6854,Sunday,November,4.0,1
U6548,Facebook Ads,2025-06-19,CMP5817,Thursday,June,2.0,0
U9425,YouTube Ads,2025-04-24,CMP3638,Thursday,April,2.0,0
U7910,Email Marketing,2025-02-23,CMP9644,Sunday,February,1.0,1
U3390,Email Marketing,2025-09-24,CMP1902,Wednesday,September,3.0,0
U1886,Instagram Ads,,CMP7413,,,,0
U5423,Email Marketing,2025-10-14,CMP2693,Tuesday,October,4.0,0
U3233,Facebook Ads,2025-08-19,CMP3023,Tuesday,August,3.0,0
U9460,Facebook Ads,2025-02-22,CMP3520,Saturday,February,1.0,1
U5135,Google Ads,,CMP7497,,,,0
U4874,Instagram Ads,,CMP5701,,,,0
U2317,Facebook Ads,2025-09-19,CMP1932,Friday,September,3.0,0
U2839,LinkedIn Ads,,CMP6287,,,,0
U7940,LinkedIn Ads,,CMP5155,,,,0
U7273,Email Marketing,,CMP8282,,,,0
U2756,Instagram Ads,2025-08-23,CMP3614,Saturday,August,3.0,1
U6011,YouTube Ads,,CMP9007,,,,0
U0529,LinkedIn Ads,2025-08-19,CMP3581,Tuesday,August,3.0,0
U5745,Google Ads,2025-12-30,CMP7194,Tuesday,December,4.0,0
U4606,Facebook Ads,,CMP2282,,,,0
U1561,Instagram Ads,,CMP4795,,,,0
U4056,Email Marketing,2025-12-13,CMP2079,Saturday,December,4.0,1
U1526,Email Marketing,2025-07-26,CMP4403,Saturday,July,3.0,1
U7512,LinkedIn Ads,2025-11-22,CMP6047,Saturday,November,4.0,1
U4400,LinkedIn Ads,2025-06-15,CMP8757,Sunday,June,2.0,1
U7530,LinkedIn Ads,,CMP9276,,,,0
U4946,Google Ads,2025-03-23,CMP7480,Sunday,March,1.0,1
U5006,Instagram Ads,2025-12-25,CMP1351,Thursday,December,4.0,0
U3706,Google Ads,2025-09-23,CMP1560,Tuesday,September,3.0,0
U3752,Google Ads,2025-07-16,CMP5630,Wednesday,July,3.0,0
U2341,Instagram Ads,,CMP5134,,,,0
U6746,LinkedIn Ads,,CMP2689,,,,0
U7036,Facebook Ads,,CMP1647,,,,0
U0440,YouTube Ads,,CMP4066,,,,0
U8109,Email Marketing,2025-07-17,CMP3091,Thursday,July,3.0,0
U6338,YouTube Ads,2025-10-19,CMP1164,Sunday,October,4.0,1
U3535,Google Ads,2025-01-21,CMP7718,Tuesday,January,1.0,0
U8809,LinkedIn Ads,,CMP8210,,,,0
U1084,Facebook Ads,,CMP8378,,,,0
U7429,Google Ads,,CMP3910,,,,0
U8134,Google Ads,2025-06-27,CMP2878,Friday,June,2.0,0
U1935,Facebook Ads,2025-01-16,CMP4248,Thursday,January,1.0,0
U7458,Instagram Ads,2025-09-19,CMP1047,Friday,September,3.0,0
U1890,Instagram Ads,2025-04-27,CMP2735,Sunday,April,2.0,1
U2933,Facebook Ads,2025-01-19,CMP0202,Sunday,January,1.0,1
U4445,Facebook Ads,,CMP6871,,,,0
U1130,Facebook Ads,2025-08-27,CMP0863,Wednesday,August,3.0,0
U9238,YouTube Ads,,CMP1416,,,,0
U2467,LinkedIn Ads,,CMP9695,,,,0
U1704,Instagram Ads,2025-04-16,CMP0158,Wednesday,April,2.0,0
U8516,Facebook Ads,2025-07-31,CMP0982,Thursday,July,3.0,0
U1227,YouTube Ads,2025-10-31,CMP1392,Friday,October,4.0,0
U5346,Facebook Ads,,CMP2142,,,,0
U7366,Facebook Ads,2025-08-27,CMP3322,Wednesday,August,3.0,0
U1482,LinkedIn Ads,2025-03-22,CMP3402,Saturday,March,1.0,1
U4067,Google Ads,,CMP9885,,,,0
U9014,Facebook Ads,,CMP4263,,,,0
U2142,Google Ads,,CMP2291,,,,0
U0358,YouTube Ads,,CMP1377,,,,0
U0830,Google Ads,2025-03-28,CMP2111,Friday,March,1.0,0
U3067,Google Ads,2025-05-21,CMP8129,Wednesday,May,2.0,0
U7849,Email Marketing,,CMP4027,,,,0
U0320,Email Marketing,2025-07-15,CMP3268,Tuesday,July,3.0,0
U2947,Instagram Ads,2025-01-14,CMP7941,Tuesday,January,1.0,0
U3814,Google Ads,2025-03-23,CMP4603,Sunday,March,1.0,1
U9433,Email Marketing,2025-07-18,CMP8744,Friday,July,3.0,0
U5879,Facebook Ads,2025-10-30,CMP2847,Thursday,October,4.0,0
U8883,YouTube Ads,,CMP9301,,,,0
U5436,YouTube Ads,,CMP3812,,,,0
U2321,Instagram Ads,2025-02-26,CMP2908,Wednesday,February,1.0,0
U4945,Email Marketing,2025-06-15,CMP6121,Sunday,June,2.0,1
U5847,Email Marketing,2025-04-25,CMP7983,Friday,April,2.0,0
U9386,Email Marketing,2025-07-20,CMP5027,Sunday,July,3.0,1
U5426,Email Marketing,,CMP3620,,,,0
U3436,Email Marketing,,CMP1454,,,,0
U2726,Email Marketing,2025-07-31,CMP1771,Thursday,July,3.0,0
U3696,Google Ads,2025-03-25,CMP6150,Tuesday,March,1.0,0
U5601,Google Ads,2025-03-29,CMP4832,Saturday,March,1.0,1
U0508,Instagram Ads,,CMP1526,,,,0
U6706,Google Ads,2025-12-23,CMP2574,Tuesday,December,4.0,0
U6438,Email Marketing,2025-10-20,CMP4347,Monday,October,4.0,0
U9834,Google Ads,,CMP5912,,,,0
U7716,Google Ads,,CMP4782,,,,0
U0732,Facebook Ads,2025-05-15,CMP6350,Thursday,May,2.0,0
U1585,YouTube Ads,2025-02-13,CMP4401,Thursday,February,1.0,0
U6859,Facebook Ads,,CMP9663,,,,0
U8227,LinkedIn Ads,2025-10-20,CMP3861,Monday,October,4.0,0
U3472,Google Ads,,CMP2416,,,,0
U5239,Facebook Ads,,CMP7134,,,,0
U9627,Instagram Ads,2025-09-25,CMP5344,Thursday,September,3.0,0
U1731,YouTube Ads,2025-10-16,CMP9284,Thursday,October,4.0,0
U9978,LinkedIn Ads,2025-08-31,CMP5634,Sunday,August,3.0,1
U3893,Email Marketing,2025-01-26,CMP9973,Sunday,January,1.0,1
U1610,Google Ads,2025-04-27,CMP6103,Sunday,April,2.0,1
U3080,Instagram Ads,2025-08-15,CMP5258,Friday,August,3.0,0
U1076,YouTube Ads,,CMP7938,,,,0
U0945,YouTube Ads,,CMP8590,,,,0
U2030,Instagram Ads,2025-12-15,CMP3263,Monday,December,4.0,0
U2680,Facebook Ads,2025-05-13,CMP7309,Tuesday,May,2.0,0
U3627,LinkedIn Ads,2025-11-28,CMP0450,Friday,November,4.0,0
U0146,YouTube Ads,2025-08-31,CMP6710,Sunday,August,3.0,1
U4512,Facebook Ads,,CMP0139,,,,0
U8381,LinkedIn Ads,,CMP3576,,,,0
U4530,Instagram Ads,2025-11-24,CMP4632,Monday,November,4.0,0
U6621,Facebook Ads,,CMP4896,,,,0
U9553,Instagram Ads,2025-12-29,CMP8149,Monday,December,4.0,0
U5874,Email Marketing,2025-09-17,CMP3644,Wednesday,September,3.0,0
U9160,Facebook Ads,,CMP9147,,,,0
U5429,Instagram Ads,,CMP3642,,,,0
U1167,LinkedIn Ads,2025-08-30,CMP1930,Saturday,August,3.0,1
U2251,YouTube Ads,2025-04-13,CMP6254,Sunday,April,2.0,1
U5450,Facebook Ads,2025-11-20,CMP7497,Thursday,November,4.0,0
U8022,Instagram Ads,2025-02-15,CMP7407,Saturday,February,1.0,1
U3268,LinkedIn Ads,,CMP6610,,,,0
U3708,Facebook Ads,2025-12-22,CMP8701,Monday,December,4.0,0
U4886,YouTube Ads,2025-05-29,CMP8247,Thursday,May,2.0,0
U5886,LinkedIn Ads,,CMP5536,,,,0
U0360,Facebook Ads,2025-10-29,CMP0314,Wednesday,October,4.0,0
U0797,LinkedIn Ads,,CMP0613,,,,0
U2025,Google Ads,,CMP0324,,,,0
U4424,Instagram Ads,2025-11-15,CMP0153,Saturday,November,4.0,1
U8155,YouTube Ads,,CMP1719,,,,0
U8981,Facebook Ads,,CMP8572,,,,0
U8096,Google Ads,2025-03-18,CMP3843,Tuesday,March,1.0,0
U4328,Instagram Ads,2025-08-26,CMP1660,Tuesday,August,3.0,0
U1557,Instagram Ads,2025-01-24,CMP0647,Friday,January,1.0,0
U1523,Instagram Ads,,CMP2794,,,,0
U2733,Instagram Ads,2025-02-27,CMP7480,Thursday,February,1.0,0
U7179,Google Ads,,CMP2612,,,,0
U1851,Email Marketing,2025-07-30,CMP0473,Wednesday,July,3.0,0
U9258,Google Ads,2025-04-25,CMP5149,Friday,April,2.0,0
U6306,LinkedIn Ads,2025-03-18,CMP1561,Tuesday,March,1.0,0
U2710,Email Marketing,,CMP0191,,,,0
U3851,YouTube Ads,,CMP0825,,,,0
U0292,LinkedIn Ads,2025-02-22,CMP1443,Saturday,February,1.0,1
U8329,Google Ads,2025-10-15,CMP0003,Wednesday,October,4.0,0
U5440,Instagram Ads,2025-10-14,CMP5585,Tuesday,October,4.0,0
U3634,Email Marketing,,CMP5953,,,,0
U2690,YouTube Ads,,CMP4784,,,,0
U6438,Google Ads,2025-04-21,CMP6705,Monday,April,2.0,0
U9648,Google Ads,,CMP5537,,,,0
U9065,Facebook Ads,,CMP8261,,,,0
U1697,Email Marketing,2025-07-18,CMP2904,Friday,July,3.0,0
U4483,LinkedIn Ads,2025-07-23,CMP8260,Wednesday,July,3.0,0
U4898,LinkedIn Ads,2025-12-26,CMP2264,Friday,December,4.0,0
U5658,Email Marketing,,CMP9070,,,,0
U1891,YouTube Ads,2025-06-30,CMP2914,Monday,June,2.0,0
U0210,Email Marketing,2025-09-25,CMP6840,Thursday,September,3.0,0
U4106,Facebook Ads,2025-03-16,CMP0928,Sunday,March,1.0,1
U9206,Google Ads,2025-04-25,CMP8867,Friday,April,2.0,0
U6350,Email Marketing,,CMP8371,,,,0
U3696,Email Marketing,2025-11-21,CMP0213,Friday,November,4.0,0
U4820,YouTube Ads,2025-08-18,CMP9641,Monday,August,3.0,0
U4573,Email Marketing,,CMP2848,,,,0
U0655,Google Ads,2025-03-20,CMP4179,Thursday,March,1.0,0
U5208,LinkedIn Ads,2025-09-27,CMP4935,Saturday,September,3.0,1
U5725,Facebook Ads,2025-04-24,CMP8277,Thursday,April,2.0,0
U0145,Facebook Ads,2025-02-28,CMP4810,Friday,February,1.0,0
U6323,Google Ads,,CMP3995,,,,0
U0719,Instagram Ads,,CMP8469,,,,0
U3454,Facebook Ads,,CMP1573,,,,0
U1182,Google Ads,2025-12-18,CMP6951,Thursday,December,4.0,0
U9144,Google Ads,,CMP0621,,,,0
U0277,LinkedIn Ads,2025-07-19,CMP6679,Saturday,July,3.0,1
