User_id,Channel,Weight,Attributed_Revenue
U0487,Instagram Ads,1.0,62400.7
U0491,LinkedIn Ads,1.0,2778.64
U0492,YouTube Ads,1.0,20120.42
U0493,Facebook Ads,1.0,42818.66
U0497,Instagram Ads,1.0,22258.12
U0508,Instagram Ads,1.0,45843.33
U0520,YouTube Ads,1.0,57846.18
U0529,LinkedIn Ads,1.0,64768.32
U0537,Email Marketing,1.0,33671.19
U0540,Google Ads,1.0,72139.08
U0563,Facebook Ads,1.0,38051.56
U0571,Google Ads,1.0,58554.76
U0572,LinkedIn Ads,1.0,58152.28
U0577,Email Marketing,1.0,29182.72
U0584,Instagram Ads,1.0,19009.1
U0588,Google Ads,1.0,53167.74
U0600,Instagram Ads,1.0,15822.78
U0610,Email Marketing,1.0,7966.5
U0613,Google Ads,0.5,16059.32
U0613,Google Ads,0.5,16059.32
U0613,Google Ads,0.5,25708.13
U0613,Google Ads,0.5,25708.13
U0619,Google Ads,0.5,24735.5
U0619,Instagram Ads,0.5,24735.5
U0619,Google Ads,0.5,26700.32
U0619,Instagram Ads,0.5,26700.32
U0626,Facebook Ads,1.0,51356.04
U0635,Instagram Ads,1.0,43782.6
U0644,Google Ads,1.0,71223.92
U0646,Google Ads,1.0,28918.2
U0648,Instagram Ads,1.0,69249.42
U0649,LinkedIn Ads,1.0,61093.76
U0655,Google Ads,1.0,4526.01
U0657,Facebook Ads,1.0,38188.06
U0660,Facebook Ads,1.0,63062.74
U0667,YouTube Ads,1.0,63666.98
U0670,Google Ads,1.0,48876.82
U0675,Facebook Ads,0.5,35589.8
U0675,Instagram Ads,0.5,35589.8
U0675,Facebook Ads,0.5,12862.88
U0675,Instagram Ads,0.5,12862.88
U0685,Google Ads,1.0,30010.56
U0686,YouTube Ads,1.0,54914.32
U0687,Instagram Ads,1.0,47157.51
U0688,LinkedIn Ads,1.0,28020.86
U0700,Instagram Ads,0.5,27886.21
U0700,LinkedIn Ads,0.5,27886.21
U0700,Instagram Ads,0.5,17636.08
U0700,LinkedIn Ads,0.5,17636.08
U0703,Google Ads,1.0,48208.0
U0710,YouTube Ads,1.0,1512.72
U0711,YouTube Ads,1.0,34759.65
U0712,Email Marketing,1.0,17789.36
U0719,Instagram Ads,1.0,24533.22
U0722,LinkedIn Ads,1.0,65820.9
U0723,Google Ads,1.0,10463.36
U0724,Instagram Ads,1.0,40924.83
U0725,Google Ads,1.0,7644.14
U0730,Facebook Ads,1.0,51887.22
U0732,Facebook Ads,1.0,20307.51
U0734,Facebook Ads,1.0,19028.36
U0770,Instagram Ads,1.0,34077.96
U0776,Facebook Ads,1.0,34602.54
U0786,Email Marketing,1.0,72532.54
U0794,Google Ads,1.0,12020.22
U0797,LinkedIn Ads,1.0,8777.43
U0798,Email Marketing,1.0,19290.21
U0806,Email Marketing,1.0,4298.08
U0808,Instagram Ads,1.0,10756.5
U0816,YouTube Ads,1.0,33651.14
U0827,YouTube Ads,1.0,7144.38
U0830,Google Ads,1.0,61760.14
U0835,Facebook Ads,1.0,47557.94
U0845,LinkedIn Ads,1.0,45668.98
U0850,Email Marketing,1.0,2969.91
U0860,Google Ads,1.0,25882.57
U0862,Facebook Ads,1.0,29841.74
U0863,Facebook Ads,1.0,41176.29
U0867,Email Marketing,1.0,58481.46
U0870,LinkedIn Ads,1.0,21294.99
U0873,Email Marketing,1.0,4005.87
U0881,YouTube Ads,1.0,72279.92
U0882,Google Ads,1.0,57550.98
U0887,Google Ads,1.0,51512.61
U0888,Instagram Ads,1.0,70519.33
U0891,Google Ads,0.5,34822.81
U0891,LinkedIn Ads,0.5,34822.81
U0891,Google Ads,0.5,6953.15
U0891,LinkedIn Ads,0.5,6953.15
U0892,Instagram Ads,0.5,20781.3
U0892,Facebook Ads,0.5,20781.3
U0892,Instagram Ads,0.5,9164.11
U0892,Facebook Ads,0.5,9164.11
U0896,LinkedIn Ads,1.0,15208.74
U0903,YouTube Ads,1.0,11544.04
U0904,YouTube Ads,1.0,71048.4
U0916,Facebook Ads,0.5,23670.41
U0916,Facebook Ads,0.5,23670.41
U0916,Facebook Ads,0.5,33223.13
U0916,Facebook Ads,0.5,33223.13
U0920,Google Ads,1.0,13475.24
U0925,Instagram Ads,1.0,71051.48
U0930,YouTube Ads,1.0,31186.88
U0932,Instagram Ads,1.0,4339.58
U0933,YouTube Ads,1.0,48616.48
U0945,YouTube Ads,1.0,4504.02
U0946,YouTube Ads,1.0,32235.0
U0973,YouTube Ads,1.0,50266.0
U0978,Email Marketing,1.0,24546.21
U0979,Instagram Ads,1.0,37530.3
U0984,Facebook Ads,1.0,12178.44
U0997,Instagram Ads,1.0,50867.94
U1009,Email Marketing,1.0,3537.42
U1022,Facebook Ads,1.0,60570.4
U1026,LinkedIn Ads,1.0,73489.05
U1037,Facebook Ads,1.0,32016.86
U1044,YouTube Ads,1.0,36002.24
U1055,Google Ads,1.0,9249.67
U1060,Google Ads,1.0,26308.57
U1061,LinkedIn Ads,1.0,15619.56
U1062,Google Ads,1.0,42391.86
U1063,YouTube Ads,1.0,56534.62
U1068,LinkedIn Ads,1.0,2969.94
U1072,LinkedIn Ads,1.0,71090.82
U1073,Instagram Ads,1.0,47790.44
U1076,YouTube Ads,0.5,15350.67
U1076,LinkedIn Ads,0.5,15350.67
U1076,YouTube Ads,0.5,3351.32
U1076,LinkedIn Ads,0.5,3351.32
U1078,YouTube Ads,1.0,19722.48
U1079,Google Ads,1.0,17565.03
U1084,Facebook Ads,1.0,54949.41
U1085,Google Ads,1.0,3064.6
U1090,Google Ads,1.0,13176.97
U1095,LinkedIn Ads,1.0,31434.24
U1096,Instagram Ads,1.0,12793.53
U1097,Google Ads,1.0,15093.75
U1100,Instagram Ads,1.0,73086.39
U1101,LinkedIn Ads,0.5,31805.24
U1101,Google Ads,0.5,31805.24
U1101,LinkedIn Ads,0.5,17224.79
U1101,Google Ads,0.5,17224.79
U1103,Instagram Ads,1.0,62132.6
U1104,Facebook Ads,1.0,58898.42
U1109,Email Marketing,1.0,59141.12
U1115,Facebook Ads,1.0,42787.18
U1122,LinkedIn Ads,1.0,69128.98
U1130,Facebook Ads,1.0,63479.85
U1133,YouTube Ads,1.0,21149.54
U1138,YouTube Ads,1.0,60336.62
U1141,LinkedIn Ads,1.0,30572.58
U1145,LinkedIn Ads,1.0,19051.83
U1154,LinkedIn Ads,1.0,58459.86
U1159,Email Marketing,1.0,40170.84
U1161,Facebook Ads,1.0,44758.47
U1167,LinkedIn Ads,1.0,9646.34
U1170,Facebook Ads,1.0,40409.88
U1175,Instagram Ads,1.0,55726.86
U1181,Email Marketing,0.5,16569.65
U1181,YouTube Ads,0.5,16569.65
U1181,Email Marketing,0.5,18525.22
U1181,YouTube Ads,0.5,18525.22
U1182,Google Ads,1.0,34847.48
U1192,Email Marketing,1.0,42914.13
U1206,LinkedIn Ads,1.0,16364.47
U1209,Instagram Ads,1.0,12494.36
U1216,YouTube Ads,0.5,19581.99
U1216,Facebook Ads,0.5,19581.99
U1216,YouTube Ads,0.5,3477.45
U1216,Facebook Ads,0.5,3477.45
U1227,YouTube Ads,1.0,33047.48
U1229,Email Marketing,1.0,38563.92
U1230,Instagram Ads,0.5,13862.92
U1230,YouTube Ads,0.5,13862.92
U1230,Instagram Ads,0.5,23123.37
U1230,YouTube Ads,0.5,23123.37
U1236,Facebook Ads,1.0,55435.38
U1246,Instagram Ads,1.0,24055.05
U1249,Instagram Ads,1.0,70329.88
U1252,LinkedIn Ads,1.0,40147.41
U1254,YouTube Ads,0.5,19332.94
U1254,LinkedIn Ads,0.5,19332.94
U1254,YouTube Ads,0.5,29314.33
U1254,LinkedIn Ads,0.5,29314.33
U1270,Instagram Ads,1.0,55001.36
U1275,Google Ads,1.0,11487.82
U1280,Google Ads,1.0,62286.48
U1286,YouTube Ads,1.0,46326.66
U1291,Instagram Ads,1.0,61339.73
U1294,Instagram Ads,1.0,39702.74
U1297,LinkedIn Ads,1.0,24026.04
U1301,YouTube Ads,0.5,9459.98
U1301,YouTube Ads,0.5,9459.98
U1301,YouTube Ads,0.5,16956.29
U1301,YouTube Ads,0.5,16956.29
U1312,LinkedIn Ads,1.0,39835.8
U1315,Instagram Ads,1.0,58342.23
U1327,Instagram Ads,1.0,69969.06
U1332,Facebook Ads,1.0,51306.12
U1334,Email Marketing,1.0,70654.71
U1340,LinkedIn Ads,1.0,55733.32
U1343,LinkedIn Ads,1.0,66721.82
U1350,Instagram Ads,1.0,8495.66
U1355,Facebook Ads,1.0,6001.2
U1357,Email Marketing,1.0,65560.77
U1365,YouTube Ads,1.0,13847.6
U1366,Email Marketing,1.0,38432.64
U1371,YouTube Ads,1.0,16170.38
U1372,Email Marketing,1.0,52859.91
U1373,Email Marketing,1.0,44783.84
U1381,Email Marketing,1.0,29707.02
U1383,LinkedIn Ads,1.0,61763.0
U1387,Google Ads,1.0,27744.3
U1389,Instagram Ads,1.0,12163.02
U1393,Google Ads,1.0,57155.62
U1394,YouTube Ads,1.0,58206.51
U1402,Facebook Ads,1.0,25811.78
U1405,LinkedIn Ads,1.0,64772.01
U1411,Email Marketing,1.0,35990.02
U1416,YouTube Ads,1.0,26151.02
U1428,Instagram Ads,1.0,35613.52
U1449,YouTube Ads,1.0,27079.8
U1450,LinkedIn Ads,0.5,27910.1
U1450,Instagram Ads,0.5,27910.1
U1450,LinkedIn Ads,0.5,34322.49
U1450,Instagram Ads,0.5,34322.49
U1454,LinkedIn Ads,1.0,69417.23
U1457,Email Marketing,1.0,58419.32
U1459,YouTube Ads,1.0,12508.11
U1466,Email Marketing,1.0,2919.72
U1469,YouTube Ads,0.4,18028.66
U1469,Email Marketing,0.0667,3004.78
U1469,YouTube Ads,0.0667,3004.78
U1469,YouTube Ads,0.0667,3004.78
U1469,Facebook Ads,0.4,18028.66
U1469,YouTube Ads,0.4,13158.01
U1469,Email Marketing,0.0667,2193.0
U1469,YouTube Ads,0.0667,2193.0
U1469,YouTube Ads,0.0667,2193.0
U1469,Facebook Ads,0.4,13158.01
U1469,YouTube Ads,0.4,20454.67
U1469,Email Marketing,0.0667,3409.11
U1469,YouTube Ads,0.0667,3409.11
U1469,YouTube Ads,0.0667,3409.11
U1469,Facebook Ads,0.4,20454.67
U1469,YouTube Ads,0.4,8473.91
U1469,Email Marketing,0.0667,1412.32
U1469,YouTube Ads,0.0667,1412.32
U1469,YouTube Ads,0.0667,1412.32
U1469,Facebook Ads,0.4,8473.91
U1469,YouTube Ads,0.4,25301.89
U1469,Email Marketing,0.0667,4216.98
U1469,YouTube Ads,0.0667,4216.98
U1469,YouTube Ads,0.0667,4216.98
U1469,Facebook Ads,0.4,25301.89
U1470,Facebook Ads,1.0,62414.49
U1473,Email Marketing,1.0,20232.48
U1476,LinkedIn Ads,1.0,34514.73
U1477,Facebook Ads,1.0,29669.34
U1479,Facebook Ads,1.0,34427.82
U1480,Instagram Ads,1.0,11186.6
U1482,LinkedIn Ads,1.0,62109.21
U1486,Email Marketing,1.0,72098.72
U1487,Facebook Ads,1.0,23384.12
U1494,LinkedIn Ads,1.0,73416.44
U1513,Google Ads,1.0,71773.48
U1521,Google Ads,1.0,27583.75
U1523,Instagram Ads,1.0,9202.02
U1526,Email Marketing,1.0,21408.26
U1527,Email Marketing,1.0,30034.16
U1528,Instagram Ads,1.0,55605.6
U1531,Instagram Ads,1.0,44691.78
U1544,Email Marketing,1.0,4050.93
U1553,Facebook Ads,1.0,5744.78
U1557,Instagram Ads,1.0,11025.78
U1561,Instagram Ads,1.0,5151.98
U1571,YouTube Ads,1.0,64945.27
U1577,Facebook Ads,1.0,11186.78
U1583,LinkedIn Ads,1.0,62732.84
U1584,Email Marketing,1.0,40500.48
U1585,YouTube Ads,1.0,60757.38
U1592,Facebook Ads,1.0,6249.66
U1597,LinkedIn Ads,1.0,73443.12
U1610,Google Ads,1.0,73085.79
U1613,LinkedIn Ads,1.0,25943.22
U1615,Facebook Ads,1.0,54893.32
U1616,YouTube Ads,1.0,72529.68
U1618,Facebook Ads,0.5,31422.62
U1618,Facebook Ads,0.5,31422.62
U1618,Facebook Ads,0.5,33528.04
U1618,Facebook Ads,0.5,33528.04
U1619,Google Ads,1.0,49369.2
U1622,Google Ads,1.0,49773.81
U1623,Facebook Ads,1.0,47779.7
U1634,YouTube Ads,1.0,54391.46
U1637,Google Ads,1.0,63455.97
U1638,LinkedIn Ads,1.0,67388.9
U1640,Google Ads,1.0,62862.69
U1643,Email Marketing,1.0,59116.53
U1647,Instagram Ads,1.0,40448.04
U1658,Facebook Ads,1.0,55594.32
U1660,LinkedIn Ads,0.5,29441.24
U1660,LinkedIn Ads,0.5,29441.24
U1660,LinkedIn Ads,0.5,13389.36
U1660,LinkedIn Ads,0.5,13389.36
U1664,Facebook Ads,1.0,55721.46
U1670,LinkedIn Ads,1.0,8576.78
U1671,Facebook Ads,1.0,71317.06
U1676,LinkedIn Ads,1.0,18199.76
U1680,Google Ads,1.0,41243.46
U1681,Email Marketing,1.0,35602.73
U1684,LinkedIn Ads,1.0,62040.15
U1690,Facebook Ads,1.0,20109.09
U1697,Email Marketing,1.0,45757.44
U1698,Email Marketing,1.0,12238.71
U1704,Instagram Ads,1.0,31921.32
U1706,Instagram Ads,1.0,30565.62
U1722,YouTube Ads,1.0,28644.69
U1725,Email Marketing,1.0,15047.24
U1731,YouTube Ads,1.0,21992.4
U1735,YouTube Ads,1.0,1863.34
U1743,LinkedIn Ads,1.0,60088.76
U1745,YouTube Ads,1.0,22598.2
U1753,YouTube Ads,1.0,6016.11
U1756,YouTube Ads,1.0,52712.91
U1765,Email Marketing,1.0,47288.9
U1766,YouTube Ads,1.0,44565.39
U1769,Instagram Ads,1.0,41210.04
U1782,Instagram Ads,1.0,6626.96
U1783,LinkedIn Ads,1.0,36781.3
U1785,YouTube Ads,1.0,50652.72
U1788,Instagram Ads,1.0,8794.86
U1789,Instagram Ads,1.0,19234.11
U1790,Instagram Ads,0.4,7406.68
U1790,YouTube Ads,0.2,3703.34
U1790,YouTube Ads,0.4,7406.68
U1790,Instagram Ads,0.4,9005.83
U1790,YouTube Ads,0.2,4502.92
U1790,YouTube Ads,0.4,9005.83
U1790,Instagram Ads,0.4,5822.11
U1790,YouTube Ads,0.2,2911.06
U1790,YouTube Ads,0.4,5822.11
U1791,YouTube Ads,1.0,40024.29
U1798,Google Ads,1.0,32804.88
U1828,Facebook Ads,1.0,51459.88
U1849,Instagram Ads,1.0,44184.66
U1850,Instagram Ads,1.0,63548.14
U1851,Email Marketing,1.0,5452.7
U1865,YouTube Ads,1.0,21781.05
U1870,Facebook Ads,1.0,6250.6
U1875,Instagram Ads,1.0,57845.49
U1877,Email Marketing,1.0,12786.12
U1886,Instagram Ads,1.0,8870.17
U1890,Instagram Ads,1.0,940.71
U1891,YouTube Ads,1.0,44023.36
U1895,Email Marketing,1.0,19663.14
U1908,Email Marketing,1.0,74622.69
U1909,Instagram Ads,1.0,61996.53
U1915,Facebook Ads,1.0,24101.58
U1921,Instagram Ads,0.5,14388.24
U1921,Facebook Ads,0.5,14388.24
U1921,Instagram Ads,0.5,8012.86
U1921,Facebook Ads,0.5,8012.86
U1935,Facebook Ads,1.0,32627.36
U1941,Email Marketing,0.5,22506.21
U1941,Facebook Ads,0.5,22506.21
U1941,Email Marketing,0.5,7096.26
U1941,Facebook Ads,0.5,7096.26
U1951,Facebook Ads,1.0,45950.24
U1957,YouTube Ads,1.0,27579.12
U1961,YouTube Ads,1.0,40085.56
U1966,Facebook Ads,1.0,20281.95
U1971,YouTube Ads,0.5,13301.2
U1971,Email Marketing,0.5,13301.2
U1971,YouTube Ads,0.5,21036.62
U1971,Email Marketing,0.5,21036.62
U1972,LinkedIn Ads,0.5,33195.04
U1972,Google Ads,0.5,33195.04
U1972,LinkedIn Ads,0.5,29806.31
U1972,Google Ads,0.5,29806.31
U1979,Facebook Ads,1.0,31575.21
U1981,Instagram Ads,1.0,3740.96
U1983,LinkedIn Ads,0.5,26910.62
U1983,LinkedIn Ads,0.5,26910.62
U1983,LinkedIn Ads,0.5,21551.87
U1983,LinkedIn Ads,0.5,21551.87
U1990,Facebook Ads,1.0,60099.04
U1994,Google Ads,1.0,70596.66
U1999,Instagram Ads,1.0,69739.27
U2006,Facebook Ads,1.0,39996.75
U2015,Facebook Ads,1.0,72635.37
U2025,Google Ads,1.0,52863.72
U2026,Facebook Ads,1.0,10841.49
U2030,Instagram Ads,1.0,28405.65
U2033,YouTube Ads,1.0,32565.96
U2042,LinkedIn Ads,1.0,41466.38
U2043,Instagram Ads,1.0,12653.19
U2044,Email Marketing,1.0,55461.76
U2046,YouTube Ads,1.0,3225.77
U2052,LinkedIn Ads,1.0,41553.7
U2057,LinkedIn Ads,1.0,48892.9
U2069,Instagram Ads,1.0,45285.02
U2070,Google Ads,1.0,65990.81
U2073,LinkedIn Ads,1.0,21952.14
U2074,Google Ads,1.0,15543.39
U2078,LinkedIn Ads,1.0,52745.01
U2084,Facebook Ads,1.0,28440.1
U2088,YouTube Ads,1.0,17676.42
U2089,Google Ads,1.0,67499.37
U2092,LinkedIn Ads,1.0,68089.47
U2099,Email Marketing,1.0,31341.21
U2100,YouTube Ads,1.0,5437.04
U2101,Instagram Ads,1.0,27894.51
U2119,Google Ads,1.0,48540.57
U2129,Email Marketing,1.0,61478.79
U2130,LinkedIn Ads,0.5,31787.78
U2130,LinkedIn Ads,0.5,31787.78
U2130,LinkedIn Ads,0.5,24509.75
U2130,LinkedIn Ads,0.5,24509.75
U2132,Facebook Ads,1.0,59603.68
U2134,Facebook Ads,1.0,16755.82
U2142,Google Ads,1.0,51706.68
U2162,Google Ads,1.0,42620.4
U2169,Google Ads,1.0,29567.48
U2177,Google Ads,1.0,63101.12
U2178,Email Marketing,1.0,57307.44
U2181,Facebook Ads,1.0,43521.94
U2185,Email Marketing,1.0,32137.12
U2186,Facebook Ads,1.0,25887.14
U2196,Instagram Ads,1.0,66755.54
U2199,Facebook Ads,1.0,44689.9
U2201,Google Ads,1.0,8697.42
U2205,Google Ads,1.0,21125.58
U2210,Email Marketing,1.0,70812.67
U2214,Email Marketing,1.0,73841.28
U2216,YouTube Ads,1.0,40772.64
U2225,Email Marketing,1.0,34950.88
U2227,Facebook Ads,1.0,40020.32
U2240,Facebook Ads,1.0,54017.28
U2241,YouTube Ads,1.0,47338.77
U2247,Email Marketing,1.0,55836.72
U2248,Email Marketing,1.0,60051.03
U2250,Instagram Ads,1.0,71140.02
U2251,YouTube Ads,1.0,74048.97
U2252,Facebook Ads,1.0,52385.4
U2253,Google Ads,1.0,53257.34
U2254,Email Marketing,1.0,22362.81
U2256,LinkedIn Ads,1.0,35391.72
U2258,Instagram Ads,1.0,12831.87
U2270,Instagram Ads,1.0,2049.32
U2274,Google Ads,1.0,46439.61
U2280,Instagram Ads,1.0,47515.58
U2283,YouTube Ads,1.0,61259.77
U2287,YouTube Ads,1.0,59301.28
U2288,Google Ads,1.0,58024.74
U2292,Google Ads,1.0,1181.42
U2293,Google Ads,1.0,61526.08
U2299,Instagram Ads,1.0,32479.32
U2301,Facebook Ads,1.0,55669.38
U2308,Email Marketing,0.4,29770.68
U2308,LinkedIn Ads,0.2,14885.34
U2308,YouTube Ads,0.4,29770.68
U2308,Email Marketing,0.4,17153.8
U2308,LinkedIn Ads,0.2,8576.9
U2308,YouTube Ads,0.4,17153.8
U2308,Email Marketing,0.4,12572.17
U2308,LinkedIn Ads,0.2,6286.09
U2308,YouTube Ads,0.4,12572.17
U2317,Facebook Ads,0.5,22517.31
U2317,Google Ads,0.5,22517.31
U2317,Facebook Ads,0.5,29854.25
U2317,Google Ads,0.5,29854.25
U2318,Instagram Ads,1.0,52612.14
U2319,YouTube Ads,1.0,15931.29
U2321,Instagram Ads,1.0,27843.07
U2333,Google Ads,1.0,10056.81
U2335,Google Ads,1.0,32985.51
U2338,YouTube Ads,1.0,68930.79
U2341,Instagram Ads,1.0,1379.25
U2346,Email Marketing,1.0,64367.6
U2354,Facebook Ads,1.0,17122.92
U2361,Email Marketing,1.0,68627.04
U2377,Email Marketing,1.0,47727.78
U2385,Instagram Ads,1.0,42939.34
U2392,Email Marketing,1.0,18234.81
U2398,Email Marketing,1.0,8022.56
U2403,Facebook Ads,1.0,7692.18
U2407,Instagram Ads,1.0,18025.94
U2411,Instagram Ads,1.0,39596.58
U2420,Google Ads,1.0,52264.29
U2425,Instagram Ads,1.0,15916.02
U2428,Facebook Ads,1.0,65598.67
U2437,Instagram Ads,1.0,6649.4
U2446,LinkedIn Ads,1.0,74307.06
U2457,LinkedIn Ads,0.5,29965.29
U2457,Email Marketing,0.5,29965.29
U2457,LinkedIn Ads,0.5,16578.75
U2457,Email Marketing,0.5,16578.75
U2464,Google Ads,1.0,28977.07
U2467,LinkedIn Ads,1.0,18050.08
U2468,LinkedIn Ads,1.0,42724.44
U2474,LinkedIn Ads,1.0,73518.5
U2477,Google Ads,1.0,60732.16
U2485,Google Ads,1.0,3564.57
U2486,YouTube Ads,1.0,24266.3
U2487,Facebook Ads,1.0,43376.04
U2503,LinkedIn Ads,1.0,59177.94
U2508,Email Marketing,1.0,31343.22
U2515,Email Marketing,1.0,3805.5
U2522,Instagram Ads,1.0,67660.88
U2526,LinkedIn Ads,1.0,60231.7
U2537,Google Ads,1.0,36853.88
U2540,LinkedIn Ads,1.0,34695.72
U2541,YouTube Ads,1.0,48806.49
U2556,LinkedIn Ads,1.0,48626.85
U2563,YouTube Ads,1.0,13504.47
U2570,YouTube Ads,1.0,28783.84
U2572,Google Ads,1.0,17827.89
U2574,Facebook Ads,1.0,6323.56
U2580,Google Ads,1.0,63962.19
U2581,Email Marketing,1.0,52741.27
U2594,LinkedIn Ads,1.0,35615.4
U2596,Email Marketing,1.0,53469.34
U2599,LinkedIn Ads,1.0,51541.27
U2602,Instagram Ads,1.0,41797.18
U2607,Email Marketing,1.0,18515.46
U2608,LinkedIn Ads,1.0,16949.1
U2616,LinkedIn Ads,1.0,21381.94
U2622,LinkedIn Ads,1.0,52481.6
U2633,Facebook Ads,1.0,68510.38
U2635,Instagram Ads,1.0,37538.58
U2638,Email Marketing,1.0,45433.52
U2640,Google Ads,1.0,3659.92
U2645,Email Marketing,1.0,7603.71
U2652,Facebook Ads,1.0,12920.12
U2653,Facebook Ads,0.5,21613.72
U2653,Facebook Ads,0.5,21613.72
U2653,Facebook Ads,0.5,25717.87
U2653,Facebook Ads,0.5,25717.87
U2659,Email Marketing,1.0,47136.98
U2661,Email Marketing,1.0,23475.32
U2667,Google Ads,1.0,16484.31
U2669,Instagram Ads,1.0,24486.33
U2676,Facebook Ads,1.0,28843.08
U2677,YouTube Ads,1.0,19631.01
U2680,Facebook Ads,1.0,51897.15
U2690,YouTube Ads,0.5,26988.28
U2690,Google Ads,0.5,26988.28
U2690,YouTube Ads,0.5,11975.06
U2690,Google Ads,0.5,11975.06
U2705,Email Marketing,1.0,53182.88
U2706,Facebook Ads,0.5,22894.8
U2706,YouTube Ads,0.5,22894.8
U2706,Facebook Ads,0.5,1351.64
U2706,YouTube Ads,0.5,1351.64
U2709,Instagram Ads,1.0,11701.2
U2710,Email Marketing,1.0,18636.21
U2719,Google Ads,1.0,56017.08
U2726,Email Marketing,1.0,28869.4
U2732,Email Marketing,1.0,32791.16
U2733,Instagram Ads,1.0,54686.02
U2741,LinkedIn Ads,1.0,63256.11
U2749,YouTube Ads,1.0,61353.92
U2756,Instagram Ads,1.0,58111.66
U2760,Instagram Ads,1.0,5935.72
U2766,YouTube Ads,1.0,13731.02
U2767,Facebook Ads,1.0,3701.07
U2769,Email Marketing,1.0,57986.19
