User_id,Journey,Campaign_id,Conversion_id,Revenue,Conversion_date,Journey_Length
U0175,Email Marketing,CMP7506,CONV01440,19343.22,18-11-2025,1
U0177,Facebook Ads,CMP2488,CONV01360,15902.45,26-11-2025,1
U0179,Instagram Ads,CMP6090,CONV01073,28589.73,28-06-2025,1
U0184,YouTube Ads,CMP0489,CONV01885,15125.85,19-10-2025,1
U0194,YouTube Ads,CMP4371,CONV01873,31901.28,22-01-2025,1
U0197,YouTube Ads,CMP0990,CONV01452,29612.86,10-01-2026,1
U0200,Email Marketing,CMP1960,CONV01299,10525.23,17-10-2025,1
U0207,Email Marketing,CMP0970,CONV01393,15660.06,28-01-2025,1
U0210,Email Marketing,CMP6840,CONV00413,19353.08,26-09-2025,1
U0216,LinkedIn Ads,CMP1475,CONV01806,36474.77,03-10-2025,1
U0218,LinkedIn Ads,CMP1743,CONV00770,23278.07,10-04-2025,1
U0220,Facebook Ads,CMP9370,CONV01792,32706.01,26-12-2025,1
U0236,YouTube Ads,CMP7721,CONV00635,45280.79,25-04-2025,1
U0242,LinkedIn Ads,CMP1236,CONV00024,20617.5,04-03-2025,1
U0246,Email Marketing,CMP8472,CONV01861,26055.38,09-03-2025,1
U0261,Google Ads,CMP4959,CONV00772,1827.36,07-01-2026,1
U0277,LinkedIn Ads,CMP6679,CONV00429,26974.3,08-08-2025,1
U0282,Email Marketing,CMP3594,CONV01014,47901.98,03-08-2025,1
U0292,LinkedIn Ads,CMP1443,CONV00400,2273.68,11-03-2025,1
U0297,Facebook Ads,CMP6761,CONV01981,34469.79,19-01-2025,1
U0302,YouTube Ads,CMP7914,CONV00539,33344.65,13-07-2025,1
U0306,YouTube Ads,CMP0867,CONV00811,26827.04,02-04-2025,1
U0320,Email Marketing,CMP3268,CONV00328,24244.38,09-08-2025,1
U0321,Google Ads,CMP6813,CONV00055,791.86,02-11-2025,1
U0325,Email Marketing,CMP9985,CONV00903,4620.03,13-08-2025,1
U0331,Google Ads,CMP1254,CONV01204,27314.05,06-02-2025,1
U0347,YouTube Ads,CMP6552,CONV00975,25250.05,30-03-2025,1
U0349,Facebook Ads,CMP9319,CONV01701,31129.79,11-10-2025,1
U0350,Google Ads,CMP7451,CONV00115,49446.63,20-02-2025,1
U0355,Email Marketing,CMP7195,CONV01122,37357.63,12-04-2025,1
U0358,YouTube Ads,CMP1377,CONV00324,32476.35,28-02-2025,1
U0360,Instagram Ads > Facebook Ads,CMP0718 > CMP0314,CONV00383,6596.52,20-11-2025,2
U0360,Instagram Ads > Facebook Ads,CMP0718 > CMP0314,CONV01841,47829.34,19-04-2025,2
U0363,Instagram Ads,CMP3077,CONV00501,13825.16,28-04-2025,1
U0370,LinkedIn Ads,CMP1933,CONV01138,41493.35,07-05-2025,1
U0377,Email Marketing,CMP7371,CONV01443,4183.52,18-03-2025,1
U0380,YouTube Ads > Instagram Ads,CMP8164 > CMP6195,CONV00190,23132.92,23-02-2025,2
U0380,YouTube Ads > Instagram Ads,CMP8164 > CMP6195,CONV01061,5619.25,07-12-2025,2
U0388,Email Marketing,CMP3418,CONV01315,19429.11,01-07-2025,1
U0391,Email Marketing,CMP2568,CONV01428,28585.95,27-12-2025,1
U0394,Facebook Ads,CMP9457,CONV01786,24159.45,09-03-2025,1
U0395,LinkedIn Ads,CMP0738,CONV00813,13230.3,01-10-2025,1
U0401,Email Marketing,CMP3849,CONV00048,30758.06,17-02-2025,1
U0415,Email Marketing > Facebook Ads,CMP5333 > CMP1043,CONV01416,12665.92,30-08-2025,2
U0415,Email Marketing > Facebook Ads,CMP5333 > CMP1043,CONV01988,34279.71,11-04-2025,2
U0421,Facebook Ads > Google Ads > Google Ads,CMP2136 > CMP8565 > CMP8266,CONV01369,1695.15,21-05-2025,3
U0421,Facebook Ads > Google Ads > Google Ads,CMP2136 > CMP8565 > CMP8266,CONV01748,13511.04,09-12-2025,3
U0421,Facebook Ads > Google Ads > Google Ads,CMP2136 > CMP8565 > CMP8266,CONV01798,3163.86,17-03-2025,3
U0423,YouTube Ads,CMP2130,CONV00117,39604.24,16-03-2025,1
U0433,LinkedIn Ads,CMP7644,CONV01114,7458.99,02-09-2025,1
U0438,Facebook Ads,CMP7389,CONV00881,33943.29,21-02-2025,1
U0440,YouTube Ads,CMP4066,CONV00299,26128.58,20-12-2025,1
U0449,Instagram Ads,CMP3986,CONV00472,3843.94,24-09-2025,1
U0457,Instagram Ads,CMP2695,CONV00836,1689.16,28-09-2025,1
U0459,Instagram Ads,CMP1930,CONV00805,29686.4,16-03-2025,1
U0463,LinkedIn Ads,CMP3971,CONV00909,7820.27,12-01-2026,1
U0476,Email Marketing,CMP9506,CONV01282,30680.45,29-11-2025,1
U0483,Instagram Ads,CMP9628,CONV01710,11574.87,26-03-2025,1
U0487,Instagram Ads,CMP2002,CONV00706,41600.47,07-03-2025,1
U0491,LinkedIn Ads,CMP5274,CONV01658,1852.43,07-02-2025,1
U0492,YouTube Ads,CMP0929,CONV01140,13413.61,27-01-2025,1
U0493,Facebook Ads,CMP1691,CONV01882,28545.77,25-07-2025,1
U0497,Instagram Ads,CMP9450,CONV00185,14838.75,12-10-2025,1
U0508,Instagram Ads,CMP1526,CONV00344,30562.22,22-08-2025,1
U0520,YouTube Ads,CMP1045,CONV00223,38564.12,20-06-2025,1
U0529,LinkedIn Ads,CMP3581,CONV00283,43178.88,21-08-2025,1
U0537,Email Marketing,CMP6798,CONV00113,22447.46,19-01-2026,1
U0540,Google Ads,CMP0763,CONV00249,48092.72,20-04-2025,1
U0563,Facebook Ads,CMP7468,CONV00933,25367.71,25-11-2025,1
U0571,Google Ads,CMP2622,CONV00172,39036.51,17-03-2025,1
U0572,LinkedIn Ads,CMP5069,CONV01888,38768.19,02-01-2025,1
U0577,Email Marketing,CMP2453,CONV01754,19455.15,17-07-2025,1
U0584,Instagram Ads,CMP8541,CONV01189,12672.73,09-12-2025,1
U0588,Google Ads,CMP7209,CONV00753,35445.16,11-09-2025,1
U0600,Instagram Ads,CMP7763,CONV00858,10548.52,14-05-2025,1
U0610,Email Marketing,CMP7607,CONV00111,5311,03-07-2025,1
U0613,Google Ads > Google Ads,CMP2461 > CMP4996,CONV00715,21412.42,09-09-2025,2
U0613,Google Ads > Google Ads,CMP2461 > CMP4996,CONV01028,34277.51,31-05-2025,2
U0619,Instagram Ads > Google Ads,CMP6245 > CMP1445,CONV00465,32980.67,25-07-2025,2
U0619,Instagram Ads > Google Ads,CMP6245 > CMP1445,CONV00882,35600.43,10-01-2025,2
U0626,Facebook Ads,CMP2522,CONV01740,34237.36,26-11-2025,1
U0635,Instagram Ads,CMP3784,CONV01597,29188.4,10-05-2025,1
U0644,Google Ads,CMP2479,CONV01968,47482.61,20-10-2025,1
U0646,Google Ads,CMP4087,CONV01434,19278.8,16-03-2025,1
U0648,Instagram Ads,CMP5076,CONV01582,46166.28,06-12-2025,1
U0649,LinkedIn Ads,CMP9799,CONV00897,40729.17,18-10-2025,1
U0655,Google Ads,CMP4179,CONV00420,3017.34,18-04-2025,1
U0657,Facebook Ads,CMP9696,CONV00653,25458.71,11-09-2025,1
U0660,Facebook Ads,CMP5734,CONV00060,42041.83,04-02-2025,1
U0667,YouTube Ads,CMP6061,CONV00639,42444.65,29-03-2025,1
U0670,Google Ads,CMP5964,CONV00659,32584.55,29-07-2025,1
U0675,Facebook Ads > Instagram Ads,CMP2527 > CMP1377,CONV00184,47453.07,08-02-2025,2
U0675,Facebook Ads > Instagram Ads,CMP2527 > CMP1377,CONV00860,17150.51,10-09-2025,2
U0685,Google Ads,CMP6114,CONV00433,20007.04,20-01-2025,1
U0686,YouTube Ads,CMP4239,CONV01844,36609.55,03-11-2025,1
U0687,Instagram Ads,CMP0803,CONV01666,31438.34,11-10-2025,1
U0688,LinkedIn Ads,CMP1648,CONV01892,18680.57,12-10-2025,1
U0700,Instagram Ads > LinkedIn Ads,CMP5139 > CMP4920,CONV01035,37181.61,21-11-2025,2
U0700,Instagram Ads > LinkedIn Ads,CMP5139 > CMP4920,CONV01454,23514.77,03-01-2026,2
U0703,Google Ads,CMP5445,CONV01760,32138.67,08-04-2025,1
U0710,YouTube Ads,CMP8413,CONV00694,1008.48,06-02-2025,1
U0711,YouTube Ads,CMP5932,CONV00119,23173.1,03-01-2026,1
U0712,Email Marketing,CMP0020,CONV00457,11859.57,18-01-2026,1
U0719,Instagram Ads,CMP8469,CONV00425,16355.48,03-06-2025,1
U0722,LinkedIn Ads,CMP7086,CONV01492,43880.6,25-12-2025,1
U0723,Google Ads,CMP4115,CONV00034,6975.57,10-01-2025,1
U0724,Instagram Ads,CMP1533,CONV01643,27283.22,22-09-2025,1
U0725,Google Ads,CMP6524,CONV01256,5096.09,01-05-2025,1
U0730,Facebook Ads,CMP8217,CONV01235,34591.48,04-06-2025,1
U0732,Facebook Ads,CMP6350,CONV00349,13538.34,10-06-2025,1
U0734,Facebook Ads,CMP5420,CONV01407,12685.57,11-04-2025,1
U0770,Instagram Ads,CMP8120,CONV00834,22718.64,23-05-2025,1
U0776,Facebook Ads,CMP5022,CONV00668,23068.36,22-03-2025,1
U0786,Email Marketing,CMP9626,CONV01403,48355.03,13-10-2025,1
U0794,Google Ads,CMP8190,CONV01788,8013.48,27-11-2025,1
U0797,LinkedIn Ads,CMP0613,CONV00384,5851.62,27-11-2025,1
U0798,Email Marketing,CMP6400,CONV00887,12860.14,11-08-2025,1
U0806,Email Marketing,CMP1218,CONV01722,2865.39,24-04-2025,1
U0808,Instagram Ads,CMP1480,CONV01848,7171,17-03-2025,1
U0816,YouTube Ads,CMP9300,CONV00131,22434.09,25-12-2025,1
U0827,YouTube Ads,CMP5550,CONV00586,4762.92,08-03-2025,1
U0830,Google Ads,CMP2111,CONV00325,41173.43,09-04-2025,1
U0835,Facebook Ads,CMP3976,CONV00775,31705.29,12-07-2025,1
U0845,LinkedIn Ads,CMP1296,CONV00234,30445.99,19-05-2025,1
U0850,Email Marketing,CMP6531,CONV01741,1979.94,20-01-2026,1
U0860,Google Ads,CMP2757,CONV00940,17255.05,15-03-2025,1
U0862,Facebook Ads,CMP5459,CONV00935,19894.49,28-04-2025,1
U0863,Facebook Ads,CMP4354,CONV01979,27450.86,14-12-2025,1
U0867,Email Marketing,CMP2548,CONV00960,38987.64,15-12-2025,1
U0870,LinkedIn Ads,CMP4882,CONV01919,14196.66,18-08-2025,1
U0873,Email Marketing,CMP0715,CONV01910,2670.58,02-11-2025,1
U0881,YouTube Ads,CMP6877,CONV01042,48186.61,26-02-2025,1
U0882,Google Ads,CMP1688,CONV00491,38367.32,16-01-2025,1
U0887,Google Ads,CMP6231,CONV01040,34341.74,27-04-2025,1
U0888,Instagram Ads,CMP8375,CONV00478,47012.89,28-09-2025,1
U0891,LinkedIn Ads > Google Ads,CMP3277 > CMP4576,CONV00648,46430.41,26-08-2025,2
U0891,LinkedIn Ads > Google Ads,CMP3277 > CMP4576,CONV01713,9270.87,10-09-2025,2
U0892,Instagram Ads > Facebook Ads,CMP5478 > CMP4141,CONV00435,27708.4,18-10-2025,2
U0892,Instagram Ads > Facebook Ads,CMP5478 > CMP4141,CONV00837,12218.81,22-06-2025,2
U0896,LinkedIn Ads,CMP7675,CONV01023,10139.16,13-07-2025,1
U0903,YouTube Ads,CMP4557,CONV00565,7696.03,02-12-2025,1
U0904,YouTube Ads,CMP7932,CONV01402,47365.6,07-10-2025,1
U0916,Facebook Ads > Facebook Ads,CMP1330 > CMP7280,CONV01004,31560.55,09-10-2025,2
U0916,Facebook Ads > Facebook Ads,CMP1330 > CMP7280,CONV01962,44297.51,02-08-2025,2
U0920,Google Ads,CMP0520,CONV00247,8983.49,08-12-2025,1
U0925,Instagram Ads,CMP5593,CONV01415,47367.65,05-08-2025,1
U0930,YouTube Ads,CMP4716,CONV01417,20791.25,16-03-2025,1
U0932,Instagram Ads,CMP2815,CONV01555,2893.05,25-07-2025,1
U0933,YouTube Ads,CMP5767,CONV00142,32410.99,04-08-2025,1
U0945,YouTube Ads,CMP8590,CONV00362,3002.68,19-05-2025,1
U0946,YouTube Ads,CMP5712,CONV00908,21490,07-12-2025,1
U0973,YouTube Ads,CMP4478,CONV01622,33510.67,15-08-2025,1
U0978,Email Marketing,CMP6775,CONV01523,16364.14,22-08-2025,1
U0979,Instagram Ads,CMP0554,CONV01153,25020.2,19-06-2025,1
U0984,Facebook Ads,CMP4076,CONV00509,8118.96,17-02-2025,1
U0997,Instagram Ads,CMP0475,CONV01196,33911.96,28-10-2025,1
U1009,Email Marketing,CMP5433,CONV01677,2358.28,01-01-2026,1
U1022,Facebook Ads,CMP0974,CONV01141,40380.27,19-05-2025,1
U1026,LinkedIn Ads,CMP8420,CONV01711,48992.7,10-02-2025,1
U1037,Facebook Ads,CMP2778,CONV00258,21344.57,11-04-2025,1
U1044,YouTube Ads,CMP9959,CONV00870,24001.49,11-10-2025,1
U1055,Google Ads,CMP3877,CONV01131,6166.45,28-02-2025,1
U1060,Google Ads,CMP8693,CONV01451,17539.05,24-02-2025,1
U1061,LinkedIn Ads,CMP6469,CONV00703,10413.04,02-08-2025,1
U1062,Google Ads,CMP7034,CONV01835,28261.24,19-08-2025,1
U1063,YouTube Ads,CMP8328,CONV00856,37689.75,16-04-2025,1
U1068,LinkedIn Ads,CMP9228,CONV01491,1979.96,07-08-2025,1
U1072,LinkedIn Ads,CMP5696,CONV01385,47393.88,14-06-2025,1
U1073,Instagram Ads,CMP1886,CONV00817,31860.29,04-10-2025,1
U1076,LinkedIn Ads > YouTube Ads,CMP4789 > CMP7938,CONV00361,20467.56,03-07-2025,2
U1076,LinkedIn Ads > YouTube Ads,CMP4789 > CMP7938,CONV00663,4468.43,05-05-2025,2
U1078,YouTube Ads,CMP4417,CONV01816,13148.32,01-07-2025,1
U1079,Google Ads,CMP3598,CONV01094,11710.02,19-10-2025,1
U1084,Facebook Ads,CMP8378,CONV00304,36632.94,05-07-2025,1
U1085,Google Ads,CMP8780,CONV00577,2043.07,30-03-2025,1
U1090,Google Ads,CMP3654,CONV01410,8784.65,27-04-2025,1
U1095,LinkedIn Ads,CMP3220,CONV01518,20956.16,20-12-2025,1
U1096,Instagram Ads,CMP0478,CONV01961,8529.02,02-12-2025,1
U1097,Google Ads,CMP5270,CONV01465,10062.5,12-09-2025,1
U1100,Instagram Ads,CMP8262,CONV01324,48724.26,04-03-2025,1
U1101,Google Ads > LinkedIn Ads,CMP4318 > CMP0539,CONV01300,42406.98,05-06-2025,2
U1101,Google Ads > LinkedIn Ads,CMP4318 > CMP0539,CONV01718,22966.39,12-04-2025,2
U1103,Instagram Ads,CMP7779,CONV01871,41421.73,15-11-2025,1
U1104,Facebook Ads,CMP2752,CONV01553,39265.61,10-03-2025,1
U1109,Email Marketing,CMP3069,CONV00162,39427.41,13-10-2025,1
U1115,Facebook Ads,CMP1162,CONV01522,28524.79,09-09-2025,1
U1122,LinkedIn Ads,CMP8743,CONV00097,46085.99,08-05-2025,1
U1130,Facebook Ads,CMP0863,CONV00312,42319.9,06-09-2025,1
U1133,YouTube Ads,CMP2104,CONV01510,14099.69,03-10-2025,1
U1138,YouTube Ads,CMP0607,CONV01078,40224.41,21-09-2025,1
U1141,LinkedIn Ads,CMP0488,CONV00790,20381.72,09-03-2025,1
U1145,LinkedIn Ads,CMP9540,CONV01778,12701.22,21-04-2025,1
U1154,LinkedIn Ads,CMP1741,CONV00625,38973.24,20-10-2025,1
U1159,Email Marketing,CMP6069,CONV00657,26780.56,26-07-2025,1
U1161,Facebook Ads,CMP8805,CONV00646,29838.98,11-05-2025,1
U1167,LinkedIn Ads,CMP1930,CONV00375,6430.89,20-09-2025,1
U1170,Facebook Ads,CMP5821,CONV00007,26939.92,15-11-2025,1
U1175,Instagram Ads,CMP5360,CONV01254,37151.24,15-07-2025,1
U1181,Email Marketing > YouTube Ads,CMP7510 > CMP3771,CONV00135,22092.87,06-08-2025,2
U1181,Email Marketing > YouTube Ads,CMP7510 > CMP3771,CONV00634,24700.29,19-01-2025,2
U1182,Google Ads,CMP6951,CONV00427,23231.65,28-12-2025,1
U1192,Email Marketing,CMP2464,CONV01732,28609.42,03-11-2025,1
U1206,LinkedIn Ads,CMP3408,CONV01063,10909.65,20-09-2025,1
U1209,Instagram Ads,CMP6959,CONV01017,8329.57,06-09-2025,1
U1216,Facebook Ads > YouTube Ads,CMP2072 > CMP6709,CONV00180,26109.32,23-08-2025,2
U1216,Facebook Ads > YouTube Ads,CMP2072 > CMP6709,CONV01655,4636.61,20-05-2025,2
U1227,YouTube Ads,CMP1392,CONV00317,22031.65,30-11-2025,1
U1229,Email Marketing,CMP3117,CONV00990,25709.28,12-04-2025,1
U1230,Instagram Ads > YouTube Ads,CMP0861 > CMP5777,CONV00171,18483.9,04-01-2026,2
U1230,Instagram Ads > YouTube Ads,CMP0861 > CMP5777,CONV01082,30831.16,10-06-2025,2
U1236,Facebook Ads,CMP1065,CONV01444,36956.92,15-01-2025,1
U1246,Instagram Ads,CMP4068,CONV00474,16036.7,17-10-2025,1
U1249,Instagram Ads,CMP4732,CONV01603,46886.59,20-04-2025,1
U1252,LinkedIn Ads,CMP1289,CONV00138,26764.94,25-09-2025,1
U1254,YouTube Ads > LinkedIn Ads,CMP4074 > CMP3560,CONV00766,25777.25,06-02-2025,2
U1254,YouTube Ads > LinkedIn Ads,CMP4074 > CMP3560,CONV00880,39085.78,08-03-2025,2
U1270,Instagram Ads,CMP6608,CONV01221,36667.57,08-11-2025,1
U1275,Google Ads,CMP6376,CONV01044,7658.55,29-12-2025,1
U1280,Google Ads,CMP9762,CONV00219,41524.32,13-11-2025,1
U1286,YouTube Ads,CMP4092,CONV00476,30884.44,06-01-2026,1
U1291,Instagram Ads,CMP5948,CONV00016,40893.15,09-03-2025,1
U1294,Instagram Ads,CMP7201,CONV01812,26468.49,26-07-2025,1
U1297,LinkedIn Ads,CMP5528,CONV00488,16017.36,13-04-2025,1
U1301,YouTube Ads > YouTube Ads,CMP8122 > CMP3554,CONV00564,12613.3,21-11-2025,2
U1301,YouTube Ads > YouTube Ads,CMP8122 > CMP3554,CONV01982,22608.39,06-08-2025,2
U1312,LinkedIn Ads,CMP9309,CONV00605,26557.2,10-04-2025,1
U1315,Instagram Ads,CMP8166,CONV00503,38894.82,18-03-2025,1
U1327,Instagram Ads,CMP6978,CONV00658,46646.04,30-11-2025,1
U1332,Facebook Ads,CMP0330,CONV01238,34204.08,06-06-2025,1
U1334,Email Marketing,CMP5334,CONV00923,47103.14,13-07-2025,1
U1340,LinkedIn Ads,CMP1549,CONV00767,37155.55,29-09-2025,1
U1343,LinkedIn Ads,CMP5920,CONV00800,44481.21,04-03-2025,1
U1350,Instagram Ads,CMP3245,CONV01401,5663.77,26-09-2025,1
U1355,Facebook Ads,CMP8433,CONV01914,4000.8,28-04-2025,1
U1357,Email Marketing,CMP5275,CONV01085,43707.18,21-07-2025,1
U1365,YouTube Ads,CMP7624,CONV01605,9231.73,27-07-2025,1
U1366,Email Marketing,CMP0452,CONV01922,25621.76,05-03-2025,1
U1371,YouTube Ads,CMP7812,CONV01209,10780.25,20-03-2025,1
U1372,Email Marketing,CMP0450,CONV01823,35239.94,20-05-2025,1
U1373,Email Marketing,CMP3006,CONV01179,29855.89,09-04-2025,1
U1381,Email Marketing,CMP7245,CONV00794,19804.68,11-02-2025,1
U1383,LinkedIn Ads,CMP3870,CONV00612,41175.33,11-04-2025,1
U1387,Google Ads,CMP2642,CONV00948,18496.2,22-03-2025,1
U1389,Instagram Ads,CMP6588,CONV00970,8108.68,01-10-2025,1
U1393,Google Ads,CMP0154,CONV01003,38103.75,12-05-2025,1
U1394,YouTube Ads,CMP7797,CONV00532,38804.34,28-07-2025,1
U1402,Facebook Ads,CMP3904,CONV01158,17207.85,20-05-2025,1
U1405,LinkedIn Ads,CMP2140,CONV01430,43181.34,12-01-2025,1
U1411,Email Marketing,CMP6945,CONV00679,23993.35,11-04-2025,1
U1416,YouTube Ads,CMP3102,CONV01606,17434.01,18-02-2025,1
U1428,Instagram Ads,CMP3639,CONV01995,23742.35,19-09-2025,1
U1449,YouTube Ads,CMP0707,CONV01831,18053.2,26-10-2025,1
U1450,Instagram Ads > LinkedIn Ads,CMP8607 > CMP4579,CONV00606,37213.46,05-06-2025,2
U1450,Instagram Ads > LinkedIn Ads,CMP8607 > CMP4579,CONV00680,45763.32,17-01-2025,2
U1454,LinkedIn Ads,CMP0105,CONV01644,46278.15,23-09-2025,1
U1457,Email Marketing,CMP8736,CONV00912,38946.21,08-03-2025,1
U1459,YouTube Ads,CMP0836,CONV01822,8338.74,20-08-2025,1
U1466,Email Marketing,CMP7900,CONV00926,1946.48,25-03-2025,1
U1469,YouTube Ads > YouTube Ads > YouTube Ads > Email Marketing > Facebook Ads,CMP1628 > CMP2784 > CMP7354 > CMP2827 > CMP9071,CONV00256,30047.77,26-07-2025,5
U1469,YouTube Ads > YouTube Ads > YouTube Ads > Email Marketing > Facebook Ads,CMP1628 > CMP2784 > CMP7354 > CMP2827 > CMP9071,CONV00750,21930.02,20-06-2025,5
U1469,YouTube Ads > YouTube Ads > YouTube Ads > Email Marketing > Facebook Ads,CMP1628 > CMP2784 > CMP7354 > CMP2827 > CMP9071,CONV00814,34091.12,21-03-2025,5
U1469,YouTube Ads > YouTube Ads > YouTube Ads > Email Marketing > Facebook Ads,CMP1628 > CMP2784 > CMP7354 > CMP2827 > CMP9071,CONV00942,14123.19,15-09-2025,5
U1469,YouTube Ads > YouTube Ads > YouTube Ads > Email Marketing > Facebook Ads,CMP1628 > CMP2784 > CMP7354 > CMP2827 > CMP9071,CONV01998,42169.82,23-09-2025,5
U1470,Facebook Ads,CMP0746,CONV00822,41609.66,14-08-2025,1
U1473,Email Marketing,CMP0117,CONV01767,13488.32,29-09-2025,1
U1476,LinkedIn Ads,CMP2002,CONV01679,23009.82,04-03-2025,1
U1477,Facebook Ads,CMP8466,CONV01907,19779.56,09-04-2025,1
U1479,Facebook Ads,CMP6209,CONV01770,22951.88,17-10-2025,1
U1480,Instagram Ads,CMP9857,CONV00728,7457.73,26-07-2025,1
U1482,LinkedIn Ads,CMP3402,CONV00320,41406.14,13-04-2025,1
U1486,Email Marketing,CMP5464,CONV00629,48065.81,09-07-2025,1
U1487,Facebook Ads,CMP6663,CONV00655,15589.41,31-01-2025,1
U1494,LinkedIn Ads,CMP2816,CONV01540,48944.29,28-10-2025,1
U1513,Google Ads,CMP1699,CONV01860,47848.99,27-07-2025,1
U1521,Google Ads,CMP9764,CONV01062,18389.17,07-03-2025,1
U1523,Instagram Ads,CMP2794,CONV00392,6134.68,22-07-2025,1
U1526,Email Marketing,CMP4403,CONV00288,14272.17,24-08-2025,1
U1527,Email Marketing,CMP7207,CONV01569,20022.77,13-11-2025,1
U1528,Instagram Ads,CMP4177,CONV00124,37070.4,04-09-2025,1
U1531,Instagram Ads,CMP9025,CONV00183,29794.52,03-10-2025,1
U1544,Email Marketing,CMP9323,CONV01949,2700.62,16-07-2025,1
U1553,Facebook Ads,CMP6587,CONV00719,3829.85,25-11-2025,1
U1557,Instagram Ads,CMP0647,CONV00391,7350.52,13-02-2025,1
U1561,Instagram Ads,CMP4795,CONV00286,3434.65,19-03-2025,1
U1571,YouTube Ads,CMP0915,CONV00840,43296.85,08-12-2025,1
U1577,Facebook Ads,CMP8660,CONV01134,7457.85,15-04-2025,1
U1583,LinkedIn Ads,CMP2261,CONV01900,41821.89,22-10-2025,1
U1584,Email Marketing,CMP5271,CONV01382,27000.32,20-09-2025,1
U1585,YouTube Ads,CMP4401,CONV00350,40504.92,26-02-2025,1
U1592,Facebook Ads,CMP5568,CONV01291,4166.44,16-07-2025,1
U1597,LinkedIn Ads,CMP0061,CONV01046,48962.08,01-02-2025,1
U1610,Google Ads,CMP6103,CONV00359,48723.86,11-05-2025,1
U1613,LinkedIn Ads,CMP6736,CONV00022,17295.48,28-02-2025,1
U1615,Facebook Ads,CMP8503,CONV01780,36595.55,02-04-2025,1
U1616,YouTube Ads,CMP0690,CONV01367,48353.12,29-10-2025,1
U1618,Facebook Ads > Facebook Ads,CMP2127 > CMP5330,CONV00516,41896.83,07-02-2025,2
U1618,Facebook Ads > Facebook Ads,CMP2127 > CMP5330,CONV00815,44704.05,21-06-2025,2
U1619,Google Ads,CMP5871,CONV01399,32912.8,23-10-2025,1
U1622,Google Ads,CMP9024,CONV01946,33182.54,30-11-2025,1
U1623,Facebook Ads,CMP3499,CONV01521,31853.13,16-04-2025,1
U1634,YouTube Ads,CMP2069,CONV00095,36260.97,10-10-2025,1
U1637,Google Ads,CMP5568,CONV01927,42303.98,29-08-2025,1
U1638,LinkedIn Ads,CMP0447,CONV01692,44925.93,11-04-2025,1
U1640,Google Ads,CMP7487,CONV01335,41908.46,14-07-2025,1
U1643,Email Marketing,CMP1952,CONV00463,39411.02,15-05-2025,1
U1647,Instagram Ads,CMP7714,CONV00884,26965.36,13-04-2025,1
U1658,Facebook Ads,CMP7968,CONV00150,37062.88,03-10-2025,1
U1660,LinkedIn Ads > LinkedIn Ads,CMP2137 > CMP0174,CONV00841,39254.99,07-07-2025,2
U1660,LinkedIn Ads > LinkedIn Ads,CMP2137 > CMP0174,CONV01563,17852.48,30-06-2025,2
U1664,Facebook Ads,CMP8084,CONV01514,37147.64,25-04-2025,1
U1670,LinkedIn Ads,CMP7174,CONV00785,5717.85,04-11-2025,1
U1671,Facebook Ads,CMP3437,CONV00939,47544.71,27-12-2025,1
U1676,LinkedIn Ads,CMP2161,CONV01474,12133.17,19-10-2025,1
